City,Facility Name,Type,Street Address,Province,Postal Code,Phone,Website,Decision Maker Name,Title / Role,Notes
Amherstburg,Seasons Amherstburg,Retirement Home,681 Front Rd S,ON,N9V 0B4,(519) 736-7557,seasonsretirement.com,Tamasin Dineen,General Manager (per RocketReach),165 capacity; opened 2012; Seasons Retirement
Amherstburg,Shevchenko Senior Apartments,Independent Living,515 Dalhousie St,ON,N9V 2M3,,,,"Independent living"
Kingsville,AgeCare Royal Oak,Long-Term Care,1750 Division Rd N,ON,N9Y 4G7,(519) 733-9303,agecare.ca,Pam McDonald,Administrator / Executive Director,160 beds; formerly Chartwell; Jillian Comartin also key contact
Kingsville,Chartwell Kingsville Retirement,Retirement Home,,,,,chartwell.com,,,"Assisted living; contact for GM name"
Kingsville,Augustine Villas,Retirement Home,,,,,,,"Assisted living"
Kingsville,Southgate Residence Retirement,Retirement Home,,,,,,,"Assisted living"
Kingsville,Kings Manor Residence,Retirement Home,,,,,,,"Assisted & independent living; Alzheimer's care"
Leamington,Sun Parlor Long-Term Care Home,Long-Term Care,175 Talbot St E,ON,N8H 1L9,(519) 326-5731,countyofessex.ca,Natasha Sheeler,Administrator,Municipal; 206 beds; 23-acre lot; 100+ year history
Leamington,Sun Parlor Long-Term Care Home,Long-Term Care,175 Talbot St E,ON,N8H 1L9,(519) 326-5731,countyofessex.ca,Laura McKee,Interim Director of Nursing,
Leamington,Sun Parlor Long-Term Care Home,Long-Term Care,175 Talbot St E,ON,N8H 1L9,(519) 326-5731,countyofessex.ca,Mikayla Kudroch,Asst Director of Nursing / IPAC Lead,
Leamington,Franklin Gardens Long Term Care,Long-Term Care,24 Franklin Rd,ON,N8H 4B7,(519) 326-3289,franklingardensltc.ca,Krystal Raposo,Executive Director,Meritas Care; 120 beds expanding to 160 by Apr 2026
Leamington,Franklin Gardens Long Term Care,Long-Term Care,24 Franklin Rd,ON,N8H 4B7,(519) 326-3289,franklingardensltc.ca,Alyssa Luzzi,Director of Care,
Leamington,Leamington Mennonite Home,Long-Term Care,35 Pickwick Dr,ON,N8H 4T5,(519) 326-6109,mennonitehome.ca,Jeff Konrad,Administrator,84 beds; non-profit; charitable organization
Leamington,Chartwell Leamington,Retirement Home,1 Henry Ave,ON,N8H 5P1,(519) 322-0311,chartwell.com,,,"Assisted living; single-level; contact for GM name"
Leamington,Erie Glen Manor (Verve),Retirement Home,119 Robson Rd,ON,N8H 5E3,(519) 322-2384,erieglen.ca,Jennifer Baker,General Manager,Verve Inspired Senior Living; 75 units; indoor salt-water pool
Leamington,Chez Nous Retirement Residence,Retirement Home,,,,,,,"Top-rated near Leamington"
Leamington,New Beginnings Rest Home,Retirement Home,106 Talbot St W,ON,N8H 1M9,(519) 326-7639,newbeginningsresthome.com,Abraham Family,Owners,Downtown Leamington; 18 suites; 32 capacity; RHRA licensed
Essex,Extendicare Iler Lodge,Long-Term Care,111 Iler Ave,ON,N8M 1T6,(519) 776-9482,extendicareilerlodgeltc.com,,,"104 LTC beds + 25 retirement beds; contact for administrator"
Chatham,Riverview Gardens,Long-Term Care,519 King St W,ON,N7M 1G8,(519) 352-4823,chatham-kent.ca,Jessica Francis,Director Seniors Services / Administrator,Municipal; 320 beds; largest in region
Chatham,Riverview Gardens,Long-Term Care,519 King St W,ON,N7M 1G8,(519) 352-4823,chatham-kent.ca,Wanita Myers,Director of Nursing,
Chatham,Copper Terrace,Long-Term Care,91 Tecumseh Rd,ON,N7M 1B3,(519) 354-5442,copperterrace.ca,Shannon Snelgrove,Executive Director,138 beds; APANS Health Services; Schuller Family owned
Chatham,Meadow Park Chatham (Jarlette),Long-Term Care,110 Sandys St,ON,N7L 4X3,(519) 351-1330,jarlette.com,Anne-Marie Rumble,Administrator,94 beds; transitioning to St. Angela's Meadow (160 beds spring 2026)
Chatham,Chatham Retirement Resort,Retirement Home,25 Keil Dr N,ON,N7L 3V8,(519) 351-7777,levanteliving.com,Amanda Cousins,Contact / Manager,Levante Living; independent & supportive living
Chatham,Maple City Retirement Residence,Retirement Home,97 McFarlane Ave,ON,N7L 4V6,(519) 354-7111,maplecityretirement.ca,Barb King,General Manager,52 beds; single-floor; since 1980
Chatham / Wallaceburg,Fairfield Park,Long-Term Care,1934 Dufferin Ave,ON,N8A 4M2,(519) 627-1663,fairfieldpark.ca,Tracey Maxim,Administrator,Lapointe-Fisher; 99-103 beds; CARF accredited
Chatham / Tilbury,Tilbury Manor Nursing Home,Long-Term Care,16 Fort St,ON,N0P 2L0,(519) 682-0243,tilburymanorltc.ca,Jennifer Brissette,Director of Care,Universal Care Inc; Arch Corporation owned
Chatham / Blenheim,Blenheim Community Village,Long-Term Care,10 Mary Ave,ON,N0P 1A0,(519) 676-8119,blenheimcommunityltc.com,Glen Norton,Administrator / Executive Director,Extendicare; 57-65 beds
Chatham / Ridgetown,Village on the Ridge,Long-Term Care,9 Myrtle St,ON,N0P 2C0,(519) 674-5427,villageontheridgeltc.com,Jessie Raine,Administrator,Extendicare; 40 beds
