City,Company Name,Type,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,Hussein Khalil - Desjardins Insurance,Insurance Agency,1356 Ottawa St,ON,N8X 2E8,519-258-8888,https://khalilinsurance.ca,Hussein Khalil,Agent,Between Hall Ave and Moy Ave
Windsor,Claude Limoges - Desjardins Insurance,Insurance Agency,1304 Grand Marais Rd W,ON,N9E 1E4,519-966-8555,https://insurancewindsor.ca,Claude Limoges,Agent,Corner of Dominion and Grand Marais
Windsor,ClaimsPro,Independent Adjuster,3100 Temple Dr Suite 600,ON,N8W 5J6,519-258-3555,https://claimspro.ca,,,Canada largest independent adjusting firm; Toll free 800-471-7636
Windsor,Crawford Adjusters Canada,Independent Adjuster,418-3200 Deziel Dr,ON,N8W 5K8,519-974-5911,https://www.crawco.ca,,,80+ years experience; Independent adjusting
Windsor,ServiceMaster Restore of Windsor,Restoration,13450 Sylvestre Drive,ON,N8N 2L9,226-773-2334,https://svmrestore-windsor.ca,Matt Gignac,Operations Manager,24/7 emergency; Water fire mould restoration; Since 1993
Windsor,BELFOR Property Restoration,Restoration,1950 Halford Road RR#1,ON,N9A 6J3,519-737-7117,https://www.belfor.com,Adam Egan,General Manager,24/7 Hotline 866-627-8377; Canada leading restoration
Windsor,First Onsite Property Restoration,Restoration,2175 Solar Crescent,ON,N0R 1L0,226-946-2969,https://firstonsite.com,Charles Banham,Branch Manager,24/7 Emergency 877-778-6731; 30+ years experience
Windsor,DKI Windsor-Essex (Parker DKI),Restoration,4500 North Talbot Rd,ON,N0R 1L0,519-944-8015,https://www.parkerdki.ca,Dylan Parker,President & CEO,Since 1988; 24/7 service; Also office in Leamington
Windsor,Supreme Restoration Services,Restoration,3203 Walker Road,ON,N8W 3R7,519-946-0363,https://supremerestoration.ca,Stuart Cameron,VP Sales & Operations,24/7; Water fire mould asbestos; Serves Essex County
Windsor,On Side Restoration,Restoration,2485 Jefferson Blvd,ON,N8T 2W5,519-945-7888,https://www.onside.ca,Bill Docherty,Ontario Branch Manager,24/7 Contact Centre 888-663-6604
Windsor,PuroClean Restoration Windsor/Essex,Restoration,6930 6th Concession N,ON,N9A 6Z6,226-526-9777,https://puroclean.ca,Christian Pedersen,Owner,Serves Harrow Amherstburg Colchester; IICRC certified
Windsor,XALT Claims Management,Public Adjuster,5000 Yonge St Ste 1901 (North York HQ),ON,M2N 7E9,416-800-9258,https://www.xaltclaims.com,,,Services all Ontario; Property insurance claims specialist
Windsor,Sobel Adjusting Solutions,Public Adjuster,60 Marycroft Ave Unit 1 (Woodbridge HQ),ON,L4L 5Y5,416-975-1991,https://sobeladjusting.com,Brandon Sobel,Principal,100+ years combined experience; No upfront fees
Tecumseh,ServiceMaster Restore of Windsor,Restoration,13450 Sylvestre Drive,ON,N8N 2L9,226-773-2334,https://svmrestore-windsor.ca,Matt Gignac,Operations Manager,Also serves Windsor Essex; 24/7 emergency
Tecumseh,DKI Windsor-Essex,Restoration,4500 North Talbot Rd,ON,N0R 1L0,519-944-8015,https://www.parkerdki.ca,Dylan Parker,President & CEO,Head office location; Since 1988
LaSalle,Ives Insurance Brokers (Navacord),Insurance Agency,5994 Malden Road Suite 1,ON,N9H 1S4,519-326-9911,https://www.ivesinsurance.com,,,Since 1966; Now operating as Navacord
LaSalle,Co-operators Insurance,Insurance Agency,5905 Malden Rd (Windsor),ON,N9H 1S6,519-250-5152,https://www.cooperators.ca,,,Serves LaSalle area
Amherstburg,PuroClean Restoration Windsor/Essex,Restoration,6930 6th Concession N,ON,N9A 6Z6,226-526-9777,https://puroclean.ca,Christian Pedersen,Owner,Services Amherstburg area
Amherstburg,Will Insurance Brokers (Navacord),Insurance Agency,57 Richmond Street,ON,N9V 1G1,519-736-5457,https://will-insurance.com,Clay Parent,Agent,Now part of Ives Navacord
Amherstburg,H.L. Hamilton Insurance,Insurance Agency,102 Murray Street,ON,N9V 1H9,519-736-2122,http://hlhamilton.com,Jim Brandie,Owner,Home auto farm commercial insurance
Amherstburg,Tim Matlock - Desjardins Insurance,Insurance Agency,473 Sandwich St S,ON,N9V 3G5,519-736-4457,https://www.timmatlock.com,Tim Matlock,Agent,Since 1989; Formerly State Farm
Amherstburg,Co-operators Insurance,Insurance Agency,Unit 6 80 Richmond St,ON,N9V 1E9,519-736-7622,https://www.cooperators.ca,,,Home auto life insurance
Leamington,Ives Insurance Brokers (Navacord),Insurance Agency,197 Talbot St E Unit 1,ON,N8H 3X5,519-746-1151,https://www.ivesinsurance.com,,,Since 1966; Now operating as Navacord; Toll free 800-576-7166
Leamington,DKI Parker - Leamington,Restoration,124 Oak St W,ON,N8H 1T4,519-944-8015,https://www.parkerdki.ca,Dylan Parker,President & CEO,Branch office; 24/7 emergency service
Lakeshore/Belle River,PIB Programmed Insurance Brokers,Insurance Agency,571 Notre Dame Street,ON,N0R 1A0,519-715-9889,https://www.pib.com,Melissa St Pierre,Contact Manager,Insurance and financial planning experts
Lakeshore/Belle River,Co-operators Insurance,Insurance Agency,542 Notre Dame Street,ON,N0R 1A0,519-728-1222,https://www.cooperators.ca,,,Home auto life group insurance
Lakeshore/Belle River,Insurance Store (Navacord),Insurance Agency,1303 County Rd 22 Unit 301,ON,N8L 0J7,519-979-3700,https://insurancestore.ca,,,Now operating under Navacord
Kingsville,Will Insurance Brokers (Navacord),Insurance Agency,17 Division Street North,ON,N9Y 1C7,519-733-4121,https://will-insurance.com,,,Now part of Ives Navacord
Essex,Ives Insurance Brokers (Navacord),Insurance Agency,347 Maidstone Ave E,ON,N8M 2K1,519-776-7371,https://www.ivesinsurance.com,,,Head office; Since 1966; Now Navacord
Essex,DPM Insurance Group (BrokerLink),Insurance Agency,29 Talbot Street North,ON,N8M 2Y1,519-776-6457,https://dpmins.com,,,Joined BrokerLink July 2022
Essex,Paul Davis Restoration Windsor & Essex County,Restoration,111 Bell Avenue,ON,N8M 3G8,519-776-4567,https://windsor-essex-county.pauldavis.ca,Mike Quinlan,Business Development Manager,30 min response; Full restoration services
Harrow,BrokerLink (DPM Insurance),Insurance Agency,65 King Street West,ON,N0R 1G0,519-738-2277,https://www.brokerlink.ca,,,Hours Mon-Fri 9am-5pm; Part of DPM/BrokerLink
Chatham,Kent & Essex Mutual Insurance,Insurance Agency,10 Creek Rd,ON,N7M 5J3,519-352-3190,https://www.kemutual.com,Kevin Konecny,President & CEO,Since 1888; One of largest mutual insurers in Ontario
Chatham,BrokerLink - St Clair Street,Insurance Agency,785 St Clair St Unit D,ON,N7L 0E9,519-354-5115,https://www.brokerlink.ca,,,Hours Mon-Fri 9am-5pm
Chatham,All-Risks Insurance Brokers,Insurance Agency,136 St Clair Street,ON,N7L 3J3,519-360-2511,https://all-risks.com,,,RIBO licensed; Onsite parking
Chatham,Preferred Insurance,Insurance Agency,455 Grand Ave E Unit 9,ON,N7L 1X4,519-352-4400,https://preferred-ins.com,,,Also offices in London and Glencoe
Chatham,StoneRidge Insurance Brokers,Insurance Agency,4-101 Keil Dr S,ON,N7M 3H2,226-250-1600,https://stoneridgechatham.ca,,,Specializes in garage transportation farm livestock
Chatham,DPM Insurance Group (BrokerLink),Insurance Agency,250 St Clair St,ON,N7L 3J9,519-354-5115,https://dpmins.com,,,Joined BrokerLink July 2022
Chatham,Scott Stanley - Desjardins Insurance,Insurance Agency,166 Richmond St,ON,N7M 1P2,519-354-3000,https://www.scottstanley.ca,Scott Stanley,Agent,Auto home life commercial insurance
Chatham,Karen Bosazzi - Desjardins Insurance,Insurance Agency,375 Grand Ave W,ON,N7L 1C4,519-354-7475,https://karenbosazzi.com,Karen Bosazzi,Agent,30+ years experience; St Clair College grad
Chatham,Brad Archer - Desjardins Insurance,Insurance Agency,363 Baldoon Rd,ON,N7L 0C1,519-352-5060,,Brad Archer,Agent,Desjardins Insurance Agent
Chatham,Co-operators Insurance,Insurance Agency,6A-467 St Clair St,ON,N7L 3K6,519-358-7600,https://www.cooperators.ca,,,Home auto life group insurance
Chatham,WINMAR Chatham,Restoration,570 Grand Ave East,ON,N7L 3Z3,519-351-0225,https://winmarchatham.com,David Constancio,Owner,10+ years experience; IICRC Certified; 24/7
Chatham,First Onsite Chatham-Kent,Restoration,995 Richmond Street,ON,N7M 5J5,519-355-1234,https://firstonsite.com,Sara Marziali,Branch Contact,30+ years combined experience; 24/7/365
Chatham,BELFOR Property Restoration,Restoration,35 Hart Place,ON,N7M 5J4,519-355-1122,https://www.belfor.com,Darren Ball,General Manager,24/7 Hotline 866-454-1122
Chatham,ServiceMaster Clean Western Ontario,Restoration,21 Gregory Drive West,ON,N7L 2L2,519-354-0001,https://smcleanwesternontario.ca,Clarence Spencer,Operations Manager,Serves Windsor Chatham Wallaceburg area
Chatham,PuroClean Restoration Chatham-Kent,Restoration,6086 Dufferin Ave (Wallaceburg),ON,N8A 4M8,519-628-5655,https://puroclean.ca,David Morrison,President & Owner,24/7/365; Water fire mould restoration
Wallaceburg,PuroClean Restoration Chatham-Kent,Restoration,6086 Dufferin Ave,ON,N8A 4M8,519-628-5655,https://puroclean.ca,David Morrison,President & Owner,Water fire mould restoration; 24/7
Wallaceburg,BrokerLink - Wellington Street,Insurance Agency,403 Wellington Street,ON,N8A 2Y2,519-627-1777,https://www.brokerlink.ca,,,Hours Mon-Fri 9am-5pm
Wallaceburg,Myers Insurance Brokers,Insurance Agency,742 James St,ON,N8A 2P5,519-627-6066,https://www.hagerty.ca,Jim Myers,Owner,Since 1944; Auto and boating enthusiasts specialist
Wallaceburg,Kim Murray - Desjardins Insurance,Insurance Agency,30 McNaughton Ave Unit 2,ON,N8A 1R9,519-627-1544,https://kimmurray.ca,Kim Murray,Agent,Serving Chatham-Kent since 1973
Tilbury,BrokerLink (DPM Insurance),Insurance Agency,59 Mill Street East,ON,N0P 2L0,519-682-0202,https://www.brokerlink.ca,,,Joined BrokerLink July 2022; Hours Mon-Fri 9am-5pm
Blenheim,BrokerLink (DPM Insurance),Insurance Agency,24 Marlborough Street,ON,N0P 1A0,519-676-8159,https://www.brokerlink.ca,,,Part of DPM/BrokerLink network
Blenheim,Co-operators Insurance,Insurance Agency,34 Talbot Street East,ON,N0P 1A0,519-676-5448,https://www.cooperators.ca,,,Home auto life insurance
Dresden,Maple Mutual Insurance,Insurance Agency,29553 St George Street PO Box 478,ON,N0P 1M0,519-683-4484,https://maplemutual.com,,,Over 100 years serving Chatham-Kent; Toll free 888-736-4705
