City,Organization Name,Type/Focus,Street Address,Province,Postal Code,Phone,Website,Decision Maker Name,Title / Role,Notes
Windsor,Community Living Windsor,Developmental Services,1677 Moy Ave,ON,N8X 4M4,(519) 974-0221,clwindsor.org,Jennifer Pestrin,Executive Director,"Since 1952; 650+ people supported; Dan Logan Director Innovation"
Windsor,Art Gallery of Windsor,Arts & Culture,401 Riverside Dr W,ON,N9A 7J1,(519) 977-0013,artwindsoressex.ca,Jennifer Matotek,Executive Director,"Appointed Apr 2020; 7th ED in 75 years; 4000+ works collection"
Windsor,Windsor Symphony Orchestra,Arts & Culture,Capitol Theatre 121 University Ave W,ON,N9A 5P4,(519) 973-1238,windsorsymphony.com,Patti Lauzon,Executive Director,"plauzon@windsorsymphony.com; Capitol Theatre operator"
Windsor,Big Brothers Big Sisters Windsor Essex,Youth Mentoring,3277 Sandwich St,ON,N9C 1A8,(519) 945-6232,windsor.bigbrothersbigsisters.ca,Becky Parent,Executive Director,"65+ youth on waitlist; Kieran McKenzie Director Development"
Windsor,Habitat for Humanity Windsor-Essex,Affordable Housing,51 Edinborough St,ON,N8Y 0A3,(519) 969-3762,habitatwindsor.org,Fiona Coughlin,Executive Director & CEO,"CFRE designation; Hope Lovell Director Community Outreach"
Windsor,Canadian Mental Health Association Windsor-Essex,Mental Health Services,2135 Richmond St,ON,N8Y 0A1,(519) 255-7440,windsoressex.cmha.ca,Nicole Sbrocca,Chief Executive Officer,"Appointed Mar 2024; 20 years healthcare experience"
Windsor,Sexual Assault Crisis Centre Essex County,Crisis Support,3902 Connaught Ave,ON,N9C 2C1,(519) 253-3100,saccwindsor.net,Carol Branget,Executive Director,"MSW from University of Windsor; crisis counselling"
Windsor,VON Windsor-Essex,Home Care/Health,4520 Rhodes Dr Suite 400,ON,N8W 5C2,(519) 254-4866,von.ca,Andrew Ward,District Executive Director,"Jo-Anne Poirier CEO VON Canada; home and community care"
Essex,Essex Region Conservation Authority,Environment/Conservation,360 Fairview Ave W Suite 311,ON,N8M 1Y6,(519) 776-5209,essexregionconservation.ca,Tim Byrne,CAO,"Est 1973; Shelley McMullen CFO; Danielle Stuebing Director Communications"
Windsor,Multicultural Council Windsor-Essex,Settlement/Diversity,245 Janette Ave,ON,N9A 4Z2,(519) 255-1127,themcc.com,Fred Francis,Executive Director,"Appointed Apr 2022; succeeded Kathleen Thomas (30 years)"
Windsor,Legal Assistance of Windsor,Legal Aid/Clinic,443 Ouellette Ave 2nd Floor,ON,N9A 4J2,(519) 256-7831,legalassistanceofwindsor.com,Marion Overholt,Executive Director,"Also ED of Community Legal Aid; Natasha Manning Director Legal Services"
Windsor,Alzheimer Society Windsor-Essex,Dementia Support,2135 Richmond St,ON,N8Y 0A1,(519) 974-2220,alzheimer.ca/windsoressex,Sally Bennett Olczak,Chief Executive Officer,"CEO since 2002; sbennett@aswecare.com"
Windsor,John Howard Society Windsor-Essex,Corrections/Reintegration,275 Oak Ave Suite 703,ON,N9A 5E5,(519) 252-3461,johnhoward.on.ca/windsor-essex,Stephanie Keyes,Executive Director,"skeyes@jhswindsor.com; criminal justice services"
Windsor,Windsor Essex Community Housing Corporation,Social Housing,945 McDougall Street,ON,N9A 1L9,,wechc.com,Fabio Costante,Chief Executive Officer,"Appointed July 2025; former Ward 2 Councillor; 4900+ homes"
Windsor,Welcome Centre Shelter for Women,Homeless Shelter,500 Tuscarora St,ON,N9A 3M2,(519) 971-7595,welcomecentreshelter.com,Lady Laforet,Executive Director,"Since 1990; 32 beds women; 16 family rooms"
Windsor,Hiatus House,Domestic Violence Shelter,250 Louis Ave,ON,N9A 1W2,(519) 252-1143,hiatushouse.com,Sylvie Guenther,Executive Director,"Since 1976; 42 emergency beds; 24/7 crisis hotline"
Windsor,Transition to Betterness,Cancer/Health Support,3200 Deziel Dr #307,ON,N8W 5K8,,t2b.ca,Alexandria Fischer,Executive Director,"Appointed Aug 2024; founded 1997; local fundraising"
Windsor,Windsor Goodfellows Club,Food Bank/Children,401 Park St W,ON,N9A 5V4,(519) 252-2739,windsorgoodfellows.org,Bruce Tait,Chair Paper Drive,"110 years; volunteer-run; 12000 food boxes annually"
Windsor,Ronald McDonald House Windsor,Family Health Support,“1995 Lens Avenue, Third Floor”,ON,N8W 2X3,(519) 254-5577,ronaldmcdonaldhouseswo.ca,W. Matthew Chater,CEO RMHC SWO,"7 bedrooms; Canada's first house-within-hospital 2016"
Windsor,Family Respite Services Windsor-Essex,Respite Care,“2565 Ouellette Avenue, Unit 150”,ON,N8X 1L9,,familyrespite.org,Catharine Shanahan,Executive Director,"Services for families with disabilities"
Windsor,John McGivney Children's Centre,Children's Health/Rehab,3945 Matchette Rd,ON,N9C 4C2,(519) 252-7281,jmccentre.ca,Jennifer Jovanovski,Chief Executive Officer,"Appointed 2025; CSRF recipient; children's rehabilitation"
Windsor,Women's Enterprise Skills Training (WEST),Employment/Women,647 Ouellette Ave,ON,N9A 4J4,(519) 256-6621,westofwindsor.com,Rose Anguiano Hurst,Executive Director,"Since 1995; 60 staff; 2000+ women served annually; Platinum Jubilee pin"
Windsor,New Canadians Centre of Excellence,Settlement Services,660 Ouellette Ave Fl 2,ON,N9A 1C1,(519) 258-4076,ncceinc.org,Reza Shahbazi,Executive Director,"7000+ newcomers annually; 125 employees; IRCC funded"
Windsor,Windsor Residence for Young Men,Youth Housing,1505 Langlois Ave,ON,N8X 4M3,(226) 221-8464,wrym.ca,Jason Weinberg,Executive Director,"OTF $552K Grow Grant; 62 youth supported; ages 16-24"
Windsor,Brain Injury Association Windsor-Essex,Health Support,1100 University Dr W,ON,N9A 5S7,(519) 981-1329,biawe.com,Rachel Olsen,Executive Director,"New Horizons recipient; brain injury support services"
Windsor,Windsor Pride Community,LGBTQ Services,810 Ouellette Ave,ON,,(519) 973-4656,windsorpride.com,Crystal Fach,Executive Director,"Education Resource Centre; community support"
Windsor,Can-Am Indian Friendship Centre,Indigenous Services,2929 Howard Ave,ON,N8X 4W4,(519) 253-3243,caifc.ca,Eric Hill,President,"Since 1981; OFIFC member; urban Indigenous services; formerly ED at Am Urban Native Homes"
Windsor,Bike Windsor Essex,Cycling/Environment,862 Walker Rd,ON,N8Y 2N5,(519) 252-0538,bikewindsoressex.com,Lori Newton,Executive Director,"Bicycle Mayor of Windsor; founded Bike Kitchen; CSJ recipient"
Windsor,Drouillard Place,Community Services,1102 Drouillard Rd,ON,N8Y 2R1,(519) 255-7538,drouillardplace.ca,Kate Gibb,Executive Director,"Since 1979; food bank; EarlyON centre; Ford City"
Windsor,House of Sophrosyne,Addiction Services Women,5305 Adstoll Ave,ON,N8T 1G9,(519) 252-2711,sophrosyne.ca,Karen Waddell,Executive Director,"45+ years; women's addiction services; harm reduction"
Windsor,Windsor Essex Child/Youth Advocacy Centre,Child Advocacy,“2000 Talbot Road, Suite #3304 Mailbox #12,”,ON,N9A 6S4,(519) 253-1745,wecyac.ca,Dr. Nila Das,Executive Director,"PhD MBA; appointed 2023; child abuse support; CSRF recipient"
Windsor,Maryvale Adolescent & Family Services,Youth Mental Health,3640 Wells St,ON,N9C 1T9,(519) 258-0484,maryvale.ca,Andrew Ward,Executive Director,"Since 1929; 1000+ youth annually; ages 13-17"
Windsor,Arts Collective Theatre,Arts/Youth,330 City Hall Square W,ON,N9A 1J3,,actwindsor.ca,Chris Rabideau,Artistic Director,"Non-profit theatre education; social justice; New Horizons recipient"
Windsor,Invest WindsorEssex,Economic Development,119 Chatham St W Unit 100,ON,N9A 5M7,,investwindsoressex.com,Gordon Orr,Chief Executive Officer,"Regional economic development; business attraction"
Windsor,Workforce WindsorEssex,Employment Planning,3295 Quality Way Suite 150,ON,N8T 3R9,,workforcewindsoressex.com,Justin Falconer,CEO,"Labour market planning; WE LIP; IRCC funded; Donna Marentette ED; 19 employees"
Windsor,Windsor Women Working With Immigrant Women,Settlement/Women,1368 Ouellette Ave,ON,N8X 1J9,(519) 973-5588,wwwwiw.org,Olivia Brezeanu,Chief Executive Officer,"New Horizons recipient; immigrant women support; formerly ED"
Windsor,McBride Youth United Association,Youth Mentorship,3735 King Street,ON,N9C 1P7,,mcbrideyouthunited.ca,Brandon McBride,Founder,"Olympic athlete; Yesmina Captan co-founder; mentorship for Black and minority youth"
Amherstburg,Amherstburg Community Services,Social Services,320 Richmond St,ON,N9V 1H4,(519) 736-5471,amherstburg-cs.com,Kathy DiBartolomeo,Executive Director,"20+ programs in Amherstburg Harrow LaSalle McGregor"
Kingsville,Alzheimer Society Windsor-Essex (Kingsville),Dementia Support,2135 Richmond Street,ON,N8Y 0A1,,alzheimer.ca/windsoressex,Sally Bennett Olczak,CEO,"Based in Kingsville; serves Windsor-Essex"
Leamington,South Essex Community Council,Employment/Settlement,215 Talbot St E,ON,N8H 3X5,(519) 326-8629,secc.on.ca,Carolyn Warkentin,Executive Director,"10 years ED; 5 service areas; CSRF recipient"
Leamington,CMHA Windsor-Essex (Leamington Site),Mental Health Services,215 Talbot Street East,ON,N8H 3X5,,windsoressex.cmha.ca,Nicole Sbrocca,CEO,"Leamington satellite office"
Leamington,Erie Shores Health Foundation,Healthcare Foundation,197 Talbot St W Suite 210,ON,N8H 1N8,(519) 326-2373,eshf.ca,Penny Bellhouse,Executive Director,"30+ years; supports Erie Shores HealthCare and Hospice"
Leamington,Maryvale (Leamington Office),Youth Mental Health,249 Sherk Street,ON,N8H 4X7,,maryvale.ca,Andrew Ward,Executive Director,"Counselling facility opened 2022"
Essex,Community Living Essex County,Developmental Services,372 Talbot Street ,ON,N8M 2W4 ,,communitylivingessex.org,Karen Bolger,Executive Director,"Essex County coverage; 700+ employees"
Chatham,Chatham Kent Community Foundation,Community Foundation,P. O. Box 35,ON,N7M 5K1,(519) 351-3348,chathamkentcommunityfoundation.ca,Chris Pegg,Executive Director,"Since 2019; $750K+ grants 2025"
Chatham,United Way Centraide Windsor-Essex Chatham-Kent,Social Services,425 McNaughton Ave W,ON,N7L 4K4,,weareunited.com,Lorraine Goddard,CEO,"4 board seats allocated to Chatham-Kent"
Chatham,Chatham-Kent Health Alliance Foundation,Healthcare Foundation,9 Ursuline Avenue ,ON,N7M 5L9,,ckhaf.ca,Christine Colautti,President & CEO,"Appointed June 2023; previously Erie Shores Health Foundation"
Chatham,Outreach for Hunger,Food Bank,10 Wellington St W,ON,N7M 1H8,(519) 351-8381,outreachforhunger.com,Brenda LeClair,Executive Director,"35 years serving CK; 650 households/month"
Chatham,Family Service Kent,Counselling/Support,50 Adelaide St S,ON,N7M 6K7,(519) 352-5420,familyservicekent.com,Dan Farrow,Executive Director,"Founded 1969; wide range counselling services"
Chatham,Chatham-Kent Community Health Centres,Primary Health,150 Richmond St,ON,N7M 1N9,(519) 397-5455,ckchc.ca,Sherri Saunders,Executive Director,"Non-profit health centres; free programs"
Chatham,Lower Thames Valley Conservation Authority,Environment/Conservation,100 Thames St,ON,N7L 2Y8,(519) 354-7310,lowerthames-conservation.on.ca,Mark Peacock,General Manager,"P.Eng.; appointed 2017; 10 member municipalities"
Chatham,Riverview Gardens (Municipal LTC),Long-Term Care,519 King St W,ON,N7M 1G8,(519) 352-4823,chatham-kent.ca,Jessica Francis,Director Seniors Services,"320 beds; largest in region; municipal"
Chatham,Chatham Kent Women's Centre,Domestic Violence Shelter,20 Sandys St,ON,N7L 4Y5,(519) 351-9145,ckwc.ca,Karen Hunter,Executive Director,"Since 2016; 24/7 shelter; crisis line 800-265-0598"
Chatham,Chatham-Kent Sexual Assault Crisis Centre,Crisis Support,“405 Riverview Dr, Suite 101”,ON,N7M 0N3,(519) 354-8688,cksacc.org,Linda Soulliere,Executive Director,"Crisis counselling; sexual assault support; succeeded Michelle Schryer Jan 2024"
Blenheim,NeighbourLink Chatham-Kent,Community Support,P. O. Box 1342 ,ON,N7M 5R9,,neighbourlinkck.com,Al Baker,Executive Director,"Member of NeighbourLink CK network"
Windsor,Build a Dream,Women/Diversity/Career,“215 Eugenie St W, Suite 101”,ON,N8X 2X7,,webuildadream.com,Nour Hachem-Fawaz,President & Founder,"Founded 2014; women in STEM/trades; 10th anniversary 2024; WXN Top 100 Women"
Windsor,Coalition for Justice Unity Equity (CJUE),Black Community/Advocacy,3735 King St,ON,N9C 1P7,,cjue.org,Joi Hurst Morrison,Founder,"Promotes equality and advocacy for racialized peoples; Black Lives Matter activism"
Windsor,South Asian Centre of Windsor (SACWin),South Asian Community/Cultural,101 Tecumseh Rd W,ON,N8X 1E8,,sacwin.org,Dr. Fazle Baki,President,"Est 1986; promotes South Asian culture; Jeewen Gill Acting President per 211"
Windsor,Essex County Chinese Canadian Association (ECCCA),Chinese Community/Cultural,1420 Tecumseh Rd E,ON,N8W 1C1,,eccca.net,Stephen Tsui,President,"Founded 1976; president since 2009; serves Cantonese community; 10000+ Chinese Canadians"
Windsor,Windsor Islamic Association,Muslim Community/Religious,1320 Northwood St,ON,N9E 1A4,(519) 966-2355,windsorislamicassociation.com,Sh Mohamed Elshaikh,Imam,"Est 1964; 25000+ members; largest Muslim community org; Dr. Osman Tarabain Past President"
Windsor,Filipino Community Centre Windsor-Essex,Filipino Community/Cultural,935 Northwood St,ON,N9E 1A2,,fccwindsor.com,Roger Clemente,Board Member,"200 members; volunteer-run; promotes Filipino heritage; Carrousel of Nations"
Windsor,Gurdwara Khalsa Parkash Windsor,Sikh Community/Religious,7955 County Road 42,ON,N0R 1K0,(519) 735-6938,gurdwarakhalsaparkash.com,Harjinder Singh Kandola,President,"Sikh community services; langar; religious programs; Secretary Bhagwant Singh; Treasurer Jagjit Singh Variach"
Windsor,Sikh Cultural Society of Metropolitan Windsor,Sikh Community/Cultural,7955 County Road 42,ON,N0R 1K0,(519) 735-6938,windsorgurdwara.ca,Harjinder Singh Kandola,President,"Registered charity 869280743RR0001; Sikh cultural promotion; operates Gurdwara Khalsa Parkash"
Windsor,Ska:Na Family Learning Centre,Indigenous Services/Family,1684 Ellrose Ave,ON,N8Y 3X7,(519) 253-4844,skanaflc.com,Faith Hale,Executive Director,"Indigenous family programs; First Nations culture; EarlyON centre; parenting support"
Amherstburg,Amherstburg Freedom Museum,Black History/Heritage,277 King St,ON,N9V 2C7,(519) 736-5433,amherstburgfreedom.org,Monty Foy,Board President,"Founded 1975; Underground Railroad history; National Historic Site; Dr. Brenda McCurdy Board"
Leamington,Caldwell First Nation,Indigenous/First Nation,14 Orange Street,ON,N8H 1P5,,caldwellfirstnation.ca,Chief Nikki van Oirschot,Chief,"Elected Sept 2024; Natalya Garrod CEO; reserve since 2020; Anishinaabe"
Chatham,Chatham-Kent Black Historical Society,Black History/Heritage,177 King St E (WISH Centre),ON,N7M 3N1,,ckbhs.org,Samantha Meredith,Executive Director & Curator,"Est 1992; Black Mecca Museum; Dorothy Wright Wallace Board President"
Dresden,Josiah Henson Museum of African-Canadian History,Black History/Heritage,29251 Freedom Rd,ON,N0P 1M0,(519) 683-2978,josiahhenson.com,Steven Cook,Curator,"30 years curator; formerly Uncle Tom's Cabin; Ontario Heritage Trust; road renamed 2022"
North Buxton,Buxton National Historic Site & Museum,Black History/Heritage,21975 A.D. Shadd Rd,ON,,(519) 352-4799,buxtonmuseum.com,Michelle Robbins,Curator,"Elgin Settlement; Underground Railroad terminus; 7th generation descendant; succeeded Shannon Prince 2024"
Windsor,Windsor-Essex Pride Fest,LGBTQ/Events,“2109 Ottawa Street, 2nd Floor, Unit #216”,ON,N8Y 1R8. ,,wepridefest.com,Wendi Nicholson,President,"Non-profit; annual Pride festival Aug; community space; 6 years involved; parade coordinator"
Windsor,Rotary Club of Windsor,Service Club/Rotary,7911 Forest Glade Drive,ON,N8T 3R7,,windsorrotary.org,Jonathan DeMont,President,"District 6400; meets weekly; community service projects"
Leamington,Rotary Club of Leamington,Service Club/Rotary,P.O. Box 62,ON,N8H 3W1,,portal.clubrunner.ca/643,Martin Varella,President,"District 6400; community service; local events"
Chatham,Rotary Club of Chatham,Service Club/Rotary,“35 Thames Street, P.O. Box 836”,ON,N7M 5L1,,chathamrotary.com,Tania Sharpe,President 2024-2025,"Donna Litwin-Makey President Elect; community service"
Chatham,Rotary Club of Chatham Sunrise,Service Club/Rotary,35 Thames St,ON,N7L 1S3,,rotarysunrise.com,Glenn Smith,President,"Morning meeting Rotary club; District 6380"
Amherstburg,Rotary Club of Amherstburg,Service Club/Rotary,P.O. Box 183,ON,N9V 2Z4,,rotaryamherstburg.ca,Susanne Rainhard,Acting President,"Community service; local charitable projects"
Windsor,Knights of Columbus Council 1453,Service Club/Knights of Columbus,1947 Meldrum Rd,ON,N8W 4E3,,uknight.org/CouncilSite/index.asp?CNO=1453,Jesse Shuster,Grand Knight,"Catholic men's fraternal organization; charity; community service"
Windsor,Knights of Columbus Council 13405,Service Club/Knights of Columbus,4401 Mount Royal Drive,ON,,,kofcknights.org,Marc Vallee,Grand Knight,"South Windsor Catholic Family of Parishes; faith and charity"
Essex,Knights of Columbus Council 3305,Service Club/Knights of Columbus,62 King St E,ON,N0R 1G0,,,Doug Bonneau,Grand Knight,"Kingsville area; Catholic community service"
Tecumseh,Royal Canadian Legion Branch 594,Veterans Organization,5030 Howard Ave,ON,N0R 1L0,(519) 254-5628,rcl594.com,Bruce Tribute,President,"Metro Legion; veterans services; community events; across from Heavenly Rest Cemetery"
Windsor,Royal Canadian Legion Branch 644,Veterans Organization,1570 Marentette Ave,ON,N8X 4E5,(519) 254-1024,branch644.com,Gary Seguin,President,"Walkerville/Ambassador area; veterans community"
Chatham,Royal Canadian Legion Branch 113,Veterans Organization,180 St. George St. N,,N0P 1M0,,rcl113chatham.ca,Mike Hindmarsh,President,"1st Vice Diane Daly; 2nd Vice Leonard Drouillard"
Windsor,MS Society Windsor-Essex Chapter,Disease-Specific Charity,“1168 Drouillard Rd, Unit 5B”,ON,N8Y 2R1,(519) 977-9221,mssociety.ca,Holly Shaw,Coordinator Client Services,"MS Canada local chapter; support groups; exercise programs; info.ckwe@mssociety.ca"
Windsor,Parkinson Society Southwestern Ontario (Windsor),Disease-Specific Charity,1075 Ypres Ave,ON,N8W 1S1,,psso.ca,Dylan Murphy,Regional Contact,"psso.ca/windsor-essex; support groups; exercise programs; ext 208"
Windsor,Autism Services Inc Windsor-Essex,Disability Services,1275 Walker Rd Suite 3,ON,N8Y 4X9,(519) 250-1893,autismservicesinc.com,Rosa Ferraiuolo,Executive Director,"Autism supports; family services; programs for all ages"
Windsor,YMCA of Southwestern Ontario Windsor,Sports & Recreation,500 Victoria Ave,ON,N9A 4M8,,ymcaswo.ca,Andrew Lockie,CEO,"Part of unified YMCA SWO; Learning & Career Centre downtown; employment programs"
Windsor,Windsor Minor Hockey Association,Sports & Recreation,1551 Wyandotte St W,ON,N9A 6S1,,wmha.net,Dean Lapierre,President,"Youth hockey development; multiple age divisions"
Windsor,Essex County Youth Soccer Association,Sports & Recreation,9655 McHugh St,ON,N8P 0A8,,ecysa.org,Dean Sidell,Board Member,"Youth soccer development; Keith Totten Jose Isidro Amanda LaFlamme also on board"
Windsor,St. Clair College Foundation,Education Foundation,201 Riverside Dr. W,ON,N9A 5K4,,stclaircollege.ca/foundation,Alex Toldo,President,"Supports St. Clair College students; scholarships; capital projects"
Windsor,University of Windsor Alumni Association,Education Foundation,401 Sunset Avenue,ON,N9B 3P4 ,,uwindsor.ca/alumni,Kelly Gosselin,Director Advancement & Alumni Relations,"Alumni engagement; scholarships; university support"
Windsor,Windsor-Essex Regional Chamber of Commerce,Chamber of Commerce,“2565 Ouellette Ave, Suite 101”,ON,N8X 1L9,,windsoressexchamber.org,Ryan Donally,President & CEO,"Started late Jan 2025; succeeded Tony Haddad interim; regional business advocacy"
Chatham,Chatham-Kent Chamber of Commerce,Chamber of Commerce,54 Fourth Street,ON,N7M 2G2,,chatham-kentchamber.ca,Rory Ring,President & CEO,"Started June 2024; succeeded Gail Hundt (28 years); business advocacy"
Leamington,Leamington District Chamber of Commerce,Chamber of Commerce,318 Erie Street South,ON,N8H 3C5,,leamingtonchamber.com,Diane Malenfant,President,"Wendy Parsons General Manager; Brandon Stanley VP; Paul Thompson Treasurer"
Amherstburg,Amherstburg Chamber of Commerce,Chamber of Commerce,61 Richmond St,ON ,N9V 1G1,,amherstburgchamber.com,Dan Gemus,President,"Anne Creery General Manager; local business support"
Windsor,Downtown Windsor BIA,Business Improvement Area,484 Pelissier Street,ON,N9A 4K9,,downtownwindsor.ca,Debi Croucher,Executive Director,"Chris MacLeod Chair; Andrew Corbett Vice Chair; Jennie Atkins Treasurer"
Tecumseh,Tecumseh BIA,Business Improvement Area,12122 Tecumseh Rd E Unit 2,ON,N8N 2C7,(519) 735-3795,tecumsehbia.com,Denise Pelaccia,BIA Coordinator,"Town of Tecumseh business improvement; events and promotions"
Windsor,Museum Windsor - Chimczuk Museum,Museum/Heritage,401 Riverside Dr W,ON,N9A 7J1,(519) 253-1812,citywindsor.ca/chimczuk,Madelyn DellaValle,Curator,"City of Windsor museum; local history; permanent and temporary exhibitions"
Essex,Essex & Community Historical Research Society,Historical Society,18 Gordon Ave,ON,N8M 2Y1,,echrs.ca,Eva Clough,President,"Local history preservation; research; community heritage"
Essex,Essex County Federation of Agriculture,Agricultural Organization,P.O. Box 36,ON,N8M 2Y1,,ecfa.ca,Leo Guilbeault,President,"Ontario Federation of Agriculture member; farm advocacy; agricultural issues"
Windsor,Windsor & District Labour Council,Labour Organization,“3450 Ypres Avenue, Floor 2”,ON,N8W 5K9,,windsorlabour.ca,Mario Spagnuolo,Interim President,"Labour advocacy; worker rights; community engagement"
Windsor,Unifor Local 444,Labour Organization,1855 Turner Rd,ON,N8W 3K2,(519) 258-6400,uni444.ca,James Stewart,President,"Stellantis Windsor Assembly Plant; Nextstar EV battery plant; auto workers"
Windsor,Unifor Local 200,Labour Organization,1855 Turner Rd,ON,N8W 3K2,(519) 254-0910,uniforlocal200.com,John D'Agnolo,President,"Ford Windsor Engine Plant; Essex Engine Plant; Chair Ford Master Bargaining Committee"
Windsor,Unifor Local 240,Labour Organization,3400 Somme Avenue,ON,N8W 1V4,,unifor.org,Jodi Nesbitt,President,"Ford Windsor; 2024 Charles Brooks Award recipient"

