City,Club/Association Name,Sport Type,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,Windsor Essex Cricket League (WECL),Cricket,9655 McHugh St,ON,N8P 0A8,,https://weclcanada.ca/,,,22 teams; 400 players; multiple cricket grounds
Windsor,Windsor Cricket Club,Cricket,9655 McHugh St,ON,N8P 0A8,,https://windsorcc.com/,,,Active cricket club
Windsor,Cavaliers Cricket Club of Windsor,Cricket,9655 McHugh St,ON,N8P 0A8,,https://www.cavalierscricketclub.ca/,,,Cricket club
Windsor,Windsor Rogues Rugby Football Club,Rugby,4270 Alice Rd (AKO Park),ON,N8Y 2B8,519-979-4296,https://www.windsorrugby.com/,Kory Bremner,President,Only rugby club in Windsor-Essex; 50 years history
Windsor,Windsor Warlocks Minor Lacrosse Association,Lacrosse,3215 Jefferson Blvd (Dimashki-FC),ON,N8Y 4A7,,https://warlockslacrosse.com/,,,Youth lacrosse programs
Windsor,Windsor Clippers,Lacrosse - Junior B,3215 Jefferson Blvd,ON,N8Y 4A7,,https://ontariolacrosse.com/leagues/junior-b/windsor-clippers,,,Junior B lacrosse team
Windsor,Windsor Valiants Basketball,Basketball,8787 McHugh St (WFCU Centre),ON,N8P 0A8,,https://www.windsorvaliants.com/,,,Youth recreational and competitive basketball
Windsor,South Windsor Warriors Basketball,Basketball,2555 Pulford St,ON,N8X 3Y8,,https://www.southwindsorwarriors.com/,,,Youth basketball club
Windsor,Windsor Warriors Basketball Club,Basketball,8787 McHugh St,ON,N8P 0A8,,https://www.windsorwarriors.com/,,,Founded 1994 by Steve Cooper
Essex,South County Bandits Volleyball,Volleyball,164 Oak Dr,ON,N8M 3C8,519-562-1215,https://scbandits.ca/,,,Premier girls volleyball; 14 teams 140 athletes
Windsor,Windsor Adult Volleyball League (WAVL),Volleyball,8787 McHugh St,ON,N8P 0A8,519-791-1492,https://www.wavl.net/,,,Recreational adult volleyball league
Windsor,Rose City United Volleyball,Volleyball,8787 McHugh St,ON,N8P 0A8,,https://www.rosecityunited.com/,,,Girls volleyball elementary/secondary
Windsor,Sky Volley,Volleyball,8787 McHugh St,ON,N8P 0A8,,https://skyvolley.ca/,,,Founded 2015; post-secondary development
Windsor,WECSVL (Masters Volleyball),Volleyball,8787 McHugh St,ON,N8P 0A8,,https://wecsvl.com/,,,Volleyball for 50+ players
Windsor,Windsor Pickleball Club,Pickleball,8787 McHugh St (WFCU Centre),ON,N8P 0A8,519-974-7979,https://windsorpickleballclub.wildapricot.org/,,,600+ members since 2017; also plays at Atkinson Memorial Centre
Windsor,Pickleplex Social Club,Pickleball,1950 Lauzon Rd,ON,N8S 3M4,,https://pickleplexclub.ca/locations/windsor/,,,6 courts; pro shop; opened 2025
LaSalle,PrimeTime Pickleball,Pickleball,5958 Malden Rd,ON,N9H 1S4,,https://ptpwindsor.com/,,,Indoor pickleball facility
Tecumseh,Tecumseh Pickleball,Pickleball,12021 McNorton St,ON,N8N 2C1,,,,,,Pickleball programs in Tecumseh area
Belle River,Lakeshore Canadiens,Hockey - Junior,435 Renaud Line,ON,N0R 1A0,,https://www.lakeshorecanadiens.com/,,,PJHL junior hockey team
Essex,Essex 73s,Hockey - Senior,60 Fairview Ave W,ON,N8M 2Y2,,https://www.essex73s.ca/,,,Senior hockey team
Chatham,Chatham Maroons,Hockey - Junior,170 McNaughton Ave W,ON,N7L 1R4,,https://www.chathammaroons.com/,,,Junior hockey team
Wallaceburg,Wallaceburg Minor Baseball,Baseball,P.O. Box 20081,ON,N8A 5G1,,https://wallaceburgminorball.ca/,,,Youth baseball programs
Windsor,Essex County Little League,Baseball,9655 McHugh St,ON,N8P 0A8,,https://leagues.bluesombrero.com/essexcll,,,Youth baseball/softball
Windsor,Windsor Little League,Baseball,9655 McHugh St,ON,N8P 0A8,,https://windsorll.sportngin.com/,,,300+ youth annually
Windsor,Forest Glade Baseball League,Baseball,3205 Forest Glade Dr,ON,N8R 1W7,,https://www.wecsso.com/,,,Part of WECSSO
Windsor,WECSSO (Windsor-Essex County Senior Sports Organization),Baseball/Slo-Pitch,3205 Forest Glade Dr,ON,N8R 1W7,,https://www.wecsso.com/,,,Age 55+ baseball and slo-pitch leagues
Tecumseh,McAuliffe Park Sports,Youth Soccer/Baseball,12021 McNorton St,ON,N8N 1W9,,https://www.mcauliffepark.com/,,,Non-competitive youth programs in Tecumseh
Chatham,Chatham-Kent Barnstormers,Baseball,170 McNaughton Ave W,ON,N7L 1R4,,https://cksn.ca/,,,Inaugural season baseball team
Wallaceburg,Wallaceburg Sting,Soccer - WOSL Premier,P.O. Box 20081,ON,N8A 5G1,,https://cksn.ca/,,,Premier league soccer team
Windsor,Italian Canadian HandiCapable Association (ICHA),Adaptive Sports/Bocce,2175 Parent Ave,ON,N8X 4K2,,https://www.icha.ca/,,,Sports for individuals with disabilities
Chatham,Chatham-Kent Cougars,Football,170 McNaughton Ave W,ON,N7L 1R4,,https://cksn.ca/,,,Football team
Chatham,Kent Havoc,Rugby,170 McNaughton Ave W,ON,N7L 1R4,,https://cksn.ca/,,,Rugby team
