City,Organization Name,Community/Ethnicity Served,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,Multicultural Council of Windsor and Essex County,Multicultural/All,245 Janette Ave,ON,N9A 4Z2,519-255-1127,https://www.themcc.com/,Fred Francis,Executive Director,"Settlement, translation, ESL, cultural competency training. Fax: 519-255-1435. Email: contact@themcc.com. Mon-Fri 8:30am-5:30pm. Second location: 7651 Tecumseh Rd E"
Windsor,YMCA of Southwestern Ontario - Newcomer Settlement,Immigrant Settlement,500 Victoria Ave,ON,N9A 4M8,519-258-9622,https://www.ymcaswo.ca/,,,Ext 2643. Moving to 300 Ouellette Ave (U of Windsor downtown campus) in 2025
Windsor,New Canadians Centre of Excellence Inc,Immigrant Settlement,660 Ouellette Ave,ON,N9A 1C1,519-258-4076,,,,,Settlement Orientation and Referral Services
Windsor,Windsor-Essex Catholic District School Board International Languages Program,Heritage Language Schools,,,,,https://www.wecdsb.on.ca/programs/ilp,,,FREE Saturday morning language classes (JK-8): Filipino Hungarian Igbo Italian Malayalam Polish Portuguese Spanish Ukrainian Vietnamese
Windsor,Greater Essex County District School Board International Languages,Heritage Language Schools,,,,,https://www.publicboard.ca/en/programs-and-learning/international-languages.aspx,,,Four sites around Greater Essex County offering heritage language programs
Windsor,Gerdan Macedonian Traditional Folk Dance Ensemble,Folklore/Dance,5225 Howard Ave,ON,N9A 6Z6,,,,,,"Organizes annual Folk Festival with 300+ dancers from Macedonian, Serbian, Irish, Chinese, Slovak, Indian, Scottish, German and more communities"
Windsor,Scottish Society of Windsor Pipe Band,Scottish,,,,,https://windsorscottishpipes.com/,,,Demo Team performs at Carrousel of Nations and Oktoberfest
Windsor,Royal Scottish Country Dance Society Windsor Branch,Scottish,1340 Tecumseh Rd E,ON,N8W 1B8,,https://rscds.org/branches-and-groups/windsor-ontario,,,Monthly ceilidhs at Scottish Club of Windsor
Chatham,Chatham-Kent Asian Cultural Association,Asian,,,,,https://www.chatham-kent.ca/livingck/communityconnections/culturalcommunities/,,,Members in Chatham Ridgetown Tilbury and Wallaceburg. Contact LivingCK@Chatham-Kent.ca
Chatham,Chatham-Kent Chinese Association,Chinese,120 Queen St (Chatham Public Library),ON,,,https://www.chatham-kent.ca/livingck/communityconnections/culturalcommunities/,,,Classes held at Chatham Public Library
Chatham,CK Nigerian Community,Nigerian,,,,,https://www.CKNigeria.ca,,,Email: Info@CKNigeria.ca
Chatham,Chatham Hindu Cultural Association,Hindu,,,,,,,Stella Jonah,President,WhatsApp: 1-226-936-1249. Email: info@cknigeria.ca
Chatham,Caribbean Canadian Association of Chatham-Kent,Caribbean,,,,,,,,,"Caribbean community organization. Contact LivingCK@Chatham-Kent.ca for more info"
Chatham,Lega Istriana Chatham-Kent,Italian (Istrian),,,,,,,,,Italian Istrian cultural organization. Contact LivingCK@Chatham-Kent.ca
Chatham,Chatham Islamic Centre,Muslim,310 McNaughton Ave W,ON,N7L 1R9,,https://www.thecic.ca/,,,Islamic centre serving Chatham-Kent
Chatham,Festa Della Madonna Delle Grazie,Italian,,,,,,,,,Italian religious/cultural festival organization
Chatham,Low German Community,German (Mennonite),,,,,,,,,Low German speaking community. Contact LivingCK@Chatham-Kent.ca
Chatham,Thai Community of Chatham-Kent,Thai,,,,,,,,,Thai cultural community. Contact LivingCK@Chatham-Kent.ca
Chatham,Chatham Cultural Centre,Multicultural/Arts,75 William St N,ON,N7M 4L4,,,,,,"Municipal arts and culture facility"
Wallaceburg,CBD Club,Community/Multicultural,1342 Dufferin Ave,ON,N8A 2W5,519-627-2565,,Connie Moreland,President,Email: cbdclubinc@cogeco.net
Amherstburg,Amherstburg Historical Society,Heritage/Cultural,,,,,,,,,Formed 1973 for research restoration and preservation of historic places. Developed Park House Museum
Amherstburg,Belle Vue Cultural Foundation,Heritage/Cultural,525 Dalhousie St,ON,,,,,,,Works toward purchasing and preserving Belle Vue House mansion
Amherstburg,Golden Age Club Amherstburg,Seniors/Community,179 Victoria St S,ON,,,,,,"Friendship club with 160+ members, social activities five days a week"
Windsor,Carrousel of the Nations,Multicultural Festival,,,,,https://www.carrouselofnations.com/,,,,"Annual multicultural festival since 1974. 30 villages including Bavarian, Korean, Canadian, Lebanese-Leamington, Caribbean, Macedonian, Chinese, Mexican, Croatian, Dutch, Middle Eastern, Filipino, Nigerian, German, Persian, Polish, Ghanaian, Portuguese, Greek, Scottish, Hungarian, Indian, Serbian, Italian, Slovak"
Windsor,Windsor-Essex Supporting Ukrainian Newcomers (WESUN),Ukrainian,,,,,https://wesun.ca/,,,Support organization for Ukrainian newcomers to Windsor-Essex
Windsor,St John the Divine Orthodox Church,Orthodox Christian,Drouillard and Richmond,ON,,,https://stjohnwindsor.org/,,,Orthodox Church in America (OCA) parish
Windsor,St Georges Romanian Orthodox Cathedral,Romanian,1960 Tecumseh Rd E,ON,N8W 1E1,519-253-9333,https://www.stgeorgewindsor.org/,,,Romanian Orthodox community and cultural activities
