City,Company Name,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Type,Notes
Windsor,Bellocorp Inc.,"1090 North Talbot Road",ON,N9G 3A3,519-972-1112,bellocorp.ca,Mike Chicken,President,Condo/Townhouse Developer,"Southwood Lakes Condos + Lofts development"
Tecumseh,Brotto Development Corporation,"1133 Lesperance Road",ON,N8N 1X3,519-735-1800,brotto.ca,Christian LeFave,President,Condo/Townhouse Developer,"The Edgar development, residential and commercial properties"
Windsor,Olivia Construction,"1797 S Cameron Blvd",ON,N9B 3P6,519-969-7557,oliviaconstruction.ca,Tony Toldo,President,Condo Developer,"Most active condo developer in Windsor"
Windsor,Valente Contracting Inc.,"25 Amy Croft Dr Unit 23B",ON,N9K 1C7,519-735-4476,valenteinc.com,Steve Valente,President,Commercial / Residential Contracting,Commercial contracting arm of Valente Group
Chatham,Maple City Homes (MCH Homes),"300 Ironwood Trail",ON,N7M 0V6,519-350-6625,maplecityhomes.ca,Robb Nelson,President,Production Builder / Subdivision Developer,"200+ homes sold, partners include Gilles Michaud, Darryl Clarke, Trevor Mailloux, Kim O'Rourke Nelson"
Chatham,Bouma Builders,"19 Legacy Lane",ON,N7M 0J4,519-352-6804,boumabuilders.com,Scott VanderSluis,Owner,Custom Homes,"Award-winning, builds 1500-5000 sq.ft. custom homes, family business with Mike VanderSluis"
Chatham,Ewald Homes,"78 Braemar",ON,N7M 6K2,519-358-7023,ewaldhomes.com,Dave Ewald,Owner,Custom Homes,"25+ years in home construction, past president CKHBA"
Merlin,Rumble Homes,"5756 Middle Line",ON,N0P 1W0,519-689-4002,rumblehomes.com,Jeff Rumble,Owner,Custom Homes,"35+ years family business, outstanding craftsmanship"
Dresden,Depencier Builders,"72 Leisure Lane",ON,N0P 1M0,519-683-4692,depencierbuilders.com,Dave Depencier,Owner,Custom Homes / Log Homes,"Family-owned in Dresden, all types of renovations and custom homes"
Chatham,TMC Construction,"63 Given Rd",ON,N7M 0B5,519-436-1044,tmcconstruction.ca,Trevor Mailloux,President,Custom Homes / Commercial,"30+ years experience, father Ron Mailloux started 40 years ago"
Chatham,Campeau Custom Homes (Chatham),"877 Puce Road",ON,N8M 2X7,226-346-6412,campeaucustomhomes.ca/chatham,Frank Campeau,Owner,Custom Homes,"Nearly 3 decades experience, serves Chatham-Kent"
Leamington,Liovas Homes / Liovas Group,"9 Armstrong St",ON,N8H 3V2,519-326-7503,liovashomes.com,Jim Liovas,President,Custom Homes / Developer,"40+ years experience, George and Jim owners"
Windsor,My Own Cottage (Modular/Prefab),Unknown,ON,Unknown,705-345-9337,myowncottage.ca,Unknown,Unknown,Modular/Prefab Homes,"Serves Windsor and Essex County, modern modular construction"
Kenilworth,Quality Homes (Modular),"7307 Sideroad 5 W",ON,N0G 2E0,1-800-265-2648,qualityhomes.ca,Unknown,Unknown,Modular/Prefab Homes,"Custom modular homes and cottages, serves Ontario since 1987"
Morewood,Guildcrest Homes (Modular),"20 Mill Street",ON,K0A 2R0,1-800-249-1432,guildcrest.com,Unknown,Unknown,Modular/Prefab Homes,"Multiple locations across Ontario, modular home manufacturer since 1991"
Ontario-wide,Ontario Modular Homes,Unknown,ON,Unknown,647-720-8998,modularhomeson.ca,Unknown,Unknown,Modular/Prefab Homes,"ADU, prefab, and custom modular homes compliant with Ontario Building Code"
Windsor,Supreme Developments,Unknown,ON,Unknown,Unknown,buildwithsupreme.com,Unknown,Unknown,Subdivision Developer,Residential and commercial projects in Windsor-Essex
Brampton,HS Interiors Canada Inc.,"57 Sea Drifter Crescent",ON,L6P 4B1,647-526-5466,hsicinc.com,Unknown,Unknown,Custom Homes / Renovations,Basement renovations and interior work
Windsor,PE Construction,"380 Manning Road",ON,N8N 2L9,226-680-0722,perealestatesolutions.com/peconstruction,Unknown,Unknown,Custom Homes / General Contractor,"10+ years managing diverse projects in Windsor-Essex"
Windsor,KD Elite Homes,Unknown,ON,Unknown,Unknown,facebook.com/KDEliteHomes,Unknown,Unknown,Custom Homes,WEHBA member builder
Windsor,Custom Quality Built IHomes Inc.,Unknown,ON,Unknown,519-818-2709,Unknown,Unknown,Unknown,Custom Homes,WEHBA member builder
Windsor,PCR Constructors,"Various Windsor Locations",ON,N8X 0A1,519-944-2000,pcrconstructors.com,Research Needed,Management,Commercial/Residential Contractor,"Major general contractor; large-scale commercial and residential projects"
Windsor,Dillon Consulting,"3200 Deziel Drive Suite 608",ON,N8W 5K8,519-948-5000,dillon.ca,Research Needed,Management,Engineering/Planning,"Engineering consulting; works with builders and developers"
