City,Name,Type,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Buildings Managed,Notes
Windsor,Bayview Towers Condominium,Condo Corp,8591 Riverside Dr E,ON,N8S 1G3,519-948-8631,,,,,"150 units, 13 storeys, built 1987, gym, sauna, heated pool, party room, library"
Windsor,Coventry Park Place (Essex Condo Corp #30),Condo Corp,5151 Riverside Dr E,ON,,519-944-5002,,,,,"56 units, 12 storeys, built 1988, luxury, views of Peace Fountain and Detroit skyline"
Windsor,Reaume Park Condominiums,Condo Corp,4747 Riverside Dr E,ON,N8Y 1B9,,,,,,"34-35 units, luxury suites, 3 suites per floor, concierge, 2 parking spaces per unit"
Windsor,Gates of Glengarda (Essex Condo Corp #101),Condo Corp,4955-5055 Riverside Dr E,ON,N8Y 5A6,,https://ecc101.shiftsuite.com/,,,,"5 suites per floor, luxury, pool, hot tub, sauna, fitness, billiards, 2 guest suites"
Windsor,75 Riverside Dr E,Condo Corp,75 Riverside Dr E,ON,N9A 7C4,,,,,,"164 units, 18-19 storeys, built 1989, downtown, rooftop terrace, party room, fitness center"
Windsor,Royal Windsor Terrace,Condo Corp,380 Pelissier St,ON,N9A 6W8,519-973-7259,http://www.royalwindsorterrace.com/,,Property Manager: 519-562-9400,"163 units, 26 storeys, built 1981, downtown luxury condominium"
Windsor,Westchester at the Lake (Essex Condo Corp #28),Condo Corp,9099 Riverside Dr E,ON,N8S 4P9,519-944-0810,,,,,"Multi-floor building, built 1988, Club Westchester amenities: gym, indoor pool, sauna, racquetball"
Windsor,Riverside Tower,Condo Corp,8717 Riverside Dr E,ON,N8S 1G6,519-945-0441,https://www.hazelviewproperties.com/properties/riverside-tower,Hazelview Properties,Property Manager,,"136 units, high-rise, Detroit River views, pet friendly, managed by Hazelview Properties"
Windsor,Riverside Rise,Condo Corp,Riverside Dr E,ON,,,https://riversiderise.com/,,,,"84 units, 12 storeys, new luxury development, sustainable living"
Windsor,Riverside Hall,Condo Corp,Riverside Dr,ON,,,https://www.rhwindsor.com/,,,,"New luxury waterfront condo, distillery heritage design, rooftop terrace"
Windsor,The Edgar,Condo Corp,7887 Edgar St,ON,,,https://brotto.ca/property/the-edgar-riverside/,,,"36 units, completed 2022, by Brotto Development/Suburban Construction"
Tecumseh,Harbour Club,Condo Corp,14400 Tecumseh Rd E,ON,,,https://harbourclub.luxury/,,,,"Boutique waterfront condo, luxury lakeside, L-shaped design, fitness studio, boat slips available"
Tecumseh,Carsten Manor,Condo Corp,Tecumseh,ON,,,https://brotto.ca/property/carstenmanor/,Suburban Construction & Management,,"24 units, 4 buildings (6 units each), luxury boutique, by Brotto Development"
LaSalle,LA Suites,Condo Corp,1740 Sprucewood Ave,ON,N9J 1X7,,https://brotto.ca/property/la-suites/,Suburban Construction & Management,,"70 residential units + 8 commercial, 2 buildings, 6 storeys, by Brotto Development"
LaSalle,LaSalle Horizons,Condo Corp,LaSalle,ON,,,https://www.horizonsgroup.ca/lasalle-horizons,Danbury Property Management,,"80 units, boutique condo, indoor/outdoor clubhouse, gym, yoga studio, sunroom, BBQ terrace"
LaSalle,Creekside LaSalle,Condo Corp,LaSalle,ON,,1-866-903-8777,https://valentehomes.com/condominiums/creekside-lasalle/,Valente Homes,,Townhouse/condo development by Valente Homes
LaSalle,Victorian Gardens,Condo Corp,LaSalle,ON,,,http://www.valentedevelopment.com/,Valente Development,,Residential development by Valente Development Corporation
Kingsville,KingsTown Commons - The Kings Building,Condo Corp,190 Main St E,ON,,,https://valentehomes.com/kingsville-welcomes-two-new-condo-buildings/,Valente Development,,58 luxury condominiums; 6 storeys; new development
Kingsville,140 Main Condo Development,Condo Corp,140 Main St,ON,,,https://www.jumprealty.ca/,,,,"30 boutique units, 3 levels, 6 floor plans, 935-1466 sq ft"
Amherstburg,Jones Realty Inc.,Property Management,Amherstburg,ON,,,https://jones-realty.ca/,,Property Manager,,Property management and commercial investing company
Chatham,Apollo Property Management,Property Management,186 Chatham St N Blenheim,ON,N0P 1A0,519-676-7467,https://www.apollopm.ca/,,Property Manager,590000+ sq ft commercial and residential,"Trusted provider in Chatham-Kent, Fax: 519-676-6640"
Chatham,Norquay Property Management Ltd.,Property Management,#301-100 Wellington St London,ON,N6B 2K6,519-672-4011,https://ndev.ca/,,Property Manager,"Apartments, condos, townhomes in London, Woodstock, Chatham, Goderich",Over 40 years experience; manages luxury Chatham apartments
Chatham,Manager 4 You,Property Management,Chatham-Kent,ON,,,https://www.4youco.ca/,,Property Manager,"Residential, commercial, condominium properties",Complete rental property solutions for Chatham-Kent landlords
Chatham,Paragon Property Management,Property Management,Chatham,ON,,,https://www.paragonproperty.ca/,,Property Manager,Rental property investments,Deep roots in Chatham-Kent community
Chatham,Grenier Property Management,Property Management,Chatham,ON,,,https://grenierpropertymanagement.com/,,Property Manager,,Full-service residential property management
Chatham,Janssen Property Management,Property Management,Chatham,ON,,,https://janssenpropertymanagement.ca/,,Property Manager,,"Locally owned since 2001, 20+ years experience"
Chatham,Austin Property Management,Property Management,Chatham-Kent,ON,,,https://austinpropertymanagement.ca/,,Property Manager,,Property management services Chatham-Kent
Chatham,The Boardwalk,Condo Corp,121 King St W,ON,N7M 0K7,,https://boardwalkchatham.ca/,OLH Property Management,Property Manager,"88 units, 8 storeys, luxury suites 1-3 bedrooms, newest high-rise development in Chatham-Kent"
Chatham,Park Place Chatham (Phase 1 & 2),Condo Corp,Chatham,ON,,,https://piroligroup.com/park-place/,Piroli Group Developments,Onsite Manager,"231 units (combined), 2 buildings, Phase 1 opened Oct 2023, luxury rental apartments"
Chatham,Piroli Group Developments,Property Management,Windsor (Head Office),ON,,,https://piroligroup.com/,Michael Piroli,General Manager,Park Place Chatham (231 units); 1000+ residential rental units,"Award-winning family business, 270+ completed projects"
Lakeshore/Belle River,Beachside Lakeshore,Condo Corp,East of Manning,ON,,,https://valentehomes.com/,Valente Development,,New condo development by Valente
Essex,Essex Town Centre,Condo Corp,Essex,ON,,,https://valentehomes.com/homes/essextowncentre/,Valente Homes,,New residential development
Leamington,Larlyn Property Management (Regional),Property Management,,ON,,,https://www.larlyn.com/regions/southwestern-ontario/,,Regional Manager,,Serves Leamington and Southwestern Ontario
Windsor,Lease Kings,Property Management,,ON,,,https://www.leasekings.net/,,Property Manager,"Residential, commercial, single/multi-family, retail, industrial","Serves Windsor-Essex and Chatham-Kent, licensed property management"
Windsor,Valente Development Corporation,Property Management/Developer,,ON,,1-866-903-8777,http://www.valentedevelopment.com/,,,Rivertown Terrace (Riverside); Magna Park Suites (LaSalle); KingsTown Commons (Kingsville),"2000+ building lots, 250+ condo units over 20 years"
Windsor,Bungalow Group,Property Management/Developer,,ON,,,https://bungalowgroup.com/,,,,"Nearly 700 housing units since 1994, custom homes, condos, commercial"
Windsor,Sovereign Developments,Property Management/Developer,,ON,,,https://sovereigndevelopments.ca/,,,,"Custom homes and commercial, serves Windsor, LaSalle, Amherstburg, Lakeshore, Tecumseh, Essex, Leamington, Kingsville, Tilbury, Chatham-Kent"
