City,Hotel/Property Name,Brand/Chain,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Number of Rooms,Notes
Windsor,Bestway Motel,Independent,1954 Huron Church Road,ON,N9C 2L5,519-969-7642,https://www.bestwaymotel.com/,,,,"Huron Church Road location"
Windsor,iCheck Inn Motel,Independent,2763 Howard Avenue,ON,N8X 3X7,,https://www.visitwindsoressex.com/places/isleepinn/,,,30,"Outdoor pool, central location near E.C. Row Expressway"
Windsor,Lexington Inn & Suites Windsor,Independent,2130 Division Rd,ON,N8W 2A1,519-250-4657,https://www.stayinns.com/country-hearth-inn-suites/on/windsor/lexington-inn-suites-windsor,,,49,"Built 2000, renovated 2013, near Windsor Airport"
Windsor,Stonecroft Inn,Independent,3032 Dougall Ave,ON,N9E 1S4,519-969-7600,https://www.stonecroftinn.com/,,,,"Contemporary rooms, full kitchen suites available, corporate-friendly"
Windsor,Ye Olde Walkerville Bed & Breakfast,B&B,1104 Monmouth Road,ON,N8Y 3L8,519-254-1507,https://walkervillebb.com/,,,5,"Victorian Manor circa 1903, gourmet breakfast, historic Walkerville neighborhood"
Lakeshore/Belle River,Holiday Inn Express & Suites Windsor East - Lakeshore,IHG,14 Amy Croft Drive,ON,N9K 0A1,519-739-6930,https://www.ihg.com/holidayinnexpress/hotels/us/en/tecumseh/yqgts/hoteldetail,,,105,"Indoor pool, free hot breakfast, near Windsor Airport"
Tecumseh,Lexington Inn & Suites Windsor,Independent,2130 Division Rd,ON,N8W 2A1,519-250-4657,,,,,"Near Tecumseh area"
Leamington,Best Western Plus Leamington Hotel & Conference Centre,Best Western,566 Bevel Line Rd,ON,N8H 3V4,519-326-8646,https://www.bestwestern.com/en_US/book/hotels-in-leamington/best-western-plus-leamington-hotel-conference-centre/propertyCode.66118.html,,,94,"On golf course, near Point Pelee National Park, conference facilities"
Leamington,Days Inn by Wyndham Leamington,Wyndham,201 Erie St North,ON,N8H 3A5,519-325-0260,https://www.wyndhamhotels.com/en-ca/days-inn/leamington-ontario/days-inn-hotel-leamington/overview,,,78,"Downtown location, indoor pool, sauna, gym"
Leamington,Sun Parlor Motel,Independent,135 Talbot Street West,ON,N8H 1N1,,https://sunparlormotel.com/,,,,"Family-owned, near Lake Erie beaches"
Leamington,Seacliffe Inn,Independent,388 Erie Street S,ON,N8H 3E5,519-324-9266,https://www.seacliffeinn.com/,,,22,"Waterfront on Lake Erie, fireplaces in rooms, spa services"
Kingsville,The Grove Hotel,Independent/Boutique,12 Main Street East,ON,N9Y 1A2,,https://mygrovehotel.com/,,,20,"Historic 1854 building, boutique hotel, TripAdvisor top 10% worldwide"
Kingsville,Distinctive Inns of Kingsville,Independent/Boutique,15 Main St E,ON,N9Y 1A1,519-733-5070,https://www.distinctiveinnsofkingsville.com/,,,11,"Three inns with themed rooms, 5 STAR Accommodation Award"
Kingsville,Pelee Island Winery Pavilion,Winery Venue,455 Seacliff Drive,ON,N9Y 2K5,519-733-6551,https://www.peleeisland.com/,,,,"Event venue, wine tastings, no on-site accommodations"
Amherstburg,Bondy House Bed & Breakfast,B&B,199 Dalhousie Street,ON,N9V 1W5,519-736-9433,https://www.bondyhouse.com/,,,5,"Victorian home, waterfront views, continental breakfast"
Amherstburg,Honor's Country House Bed and Breakfast,B&B,4441 Concession 4 South,ON,N9V 2Y8,,,,,,"4-star B&B, near Fort Malden National Historic Site"
Essex,Essex Motel,Independent,263 Talbot Street N,ON,N8M 2E2,519-961-9527,,,,,,"Small town motel"
Essex,CREW - Colchester Ridge Estate Winery,Winery Venue,108 County Road 50 E,ON,N0R 1G0,519-738-9800,https://colchesterridge.com/,,,,"Event centre up to 75 guests, wine dinners, no accommodations"
Chatham,Holiday Inn Express & Suites Chatham South,IHG,575 Richmond St,ON,N7M 1R2,519-351-1100,https://www.ihg.com/holidayinnexpress/hotels/us/en/chatham/xcmtm/hoteldetail,,,239,"Near John D. Bradley Convention Centre"
Chatham,Comfort Inn Chatham,Choice Hotels,1100 Richmond St,ON,N7M 5J5,519-352-5500,https://www.choicehotels.com/en-ca/ontario/chatham/comfort-inn-hotels/cn262,,,95,"Pet-friendly, continental breakfast"
Chatham,Quality Inn Chatham,Choice Hotels,25 Michener Road,ON,N7L 4B8,519-930-6700,https://www.choicehotels.com/en-ca/ontario/chatham/quality-inn-hotels/cn785,,,40,"Family rooms, free WiFi"
Chatham,Retro Suites Hotel,Independent/Boutique,2 King St West,ON,N7M 1C6,519-351-5885,https://www.retrosuites.com/,,,45,"Boutique hotel, 8 heritage buildings, individually themed suites, art gallery"
Chatham,Super 8 by Wyndham Chatham,Wyndham,25 Michener Road,ON,N7L 4B8,866-650-4867,https://www.wyndhamhotels.com/super-8/chatham-ontario/super-8-chatham/overview,,,40,"Near Highway 401, outdoor pool, free breakfast"
Chatham,Saxony Motel,Independent,521 Grand Avenue East,ON,N7L 3Z2,519-354-4881,https://www.saxonymotel.com/,,,,"Budget motel"
Chatham,Kent Motel / Le Grand Kent Motel,Independent,420 Grand Avenue East,ON,N7L 1X2,519-352-9222,https://www.legrandekentmotel.ca/,,,,"Heart of Chatham, affordable"
Chatham,Flamingo Motel,Independent,421 Grand Avenue E,ON,N7L 1X4,519-354-5130,http://www.flamingomotel.com/,,,,"24-hour front desk"
Chatham,Chatham Motel,Independent,658 Grand Avenue E,ON,N7L 1X6,519-352-4670,,,,,,"Budget motel, microwave and fridge in rooms"
Chatham,Miracle Motel,Independent,9490 Longwoods Road,ON,N7M 5J1,,,,,11,"Adults-only, newly renovated, on Highway 2"
Chatham,Traveller Inn,Independent,6289 Queens Line,ON,N7M 5T1,519-351-3874,,,,,,"Pet-friendly motel, 24-hour front desk"
Wallaceburg,Wallaceburg Inn (Days Inn),Wyndham,76 McNaughton Ave,ON,N8A 1R9,519-627-0781,https://www.wyndhamhotels.com/en-ca/days-inn/wallaceburg-ontario/days-inn-wallaceburg/overview,,,45,"Near Dresden Raceway, St. Clair River"
Tilbury,Various Hotels,Multiple,,,,,,,,"184 hotels in area via Expedia, budget to mid-range options"
Ridgetown,Ridgetown Inn,Independent,21198 Victoria Rd,ON,N0P 2C0,519-674-5454,,,,41,"Indoor pool, free WiFi, near Highway 401"
Windsor,St. Clair Centre for the Arts,Convention/Event Venue,201 Riverside Drive West,ON,N9A 5K4,519-252-8311,https://www.stclaircentreforthearts.ca/,,,,"6 meeting rooms, 1200-seat Chrysler Theatre, Skyline Room up to 700 guests"
Windsor,Giovanni Caboto Club,Convention/Event Venue,2175 Parent Ave,ON,N8X 4K2,519-252-8383,https://www.cabotoclub.com/,,,,"10 halls, capacity 10-2000 per room, max 3000 total"
Oldcastle,Ciociaro Club,Convention/Event Venue,3745 North Talbot Rd,ON,N0R 1L0,,https://www.ciociaroclub.com/,,,,"Up to 1000 guests, event planning, in-house catering"
Windsor,Fogolar Furlan Windsor,Convention/Event Venue,1800 North Service Road,ON,N8W 1Y3,519-966-2230,https://www.fogolar.com/,,,,"Multiple halls, capacity 50-650 guests, premier banquet facility"
Windsor,Masonic Temple Ballroom,Convention/Event Venue,986 Ouellette Avenue,ON,N9A 3G1,519-253-3615,,,,,"Historic 1921 building, large ballroom, weddings and concerts"
Windsor,Capitol Theatre,Convention/Event Venue,121 University Ave W,ON,N9A 5P4,519-973-1238,https://www.capitoltheatrewindsor.ca/,,,,"Pentastar Theatre 620 seats, Kelly Theatre 200 seats, Joy Theatre intimate"
Chatham,John D. Bradley Convention Centre,Convention/Event Venue,565 Richmond St,ON,N7M 1R2,519-598-0200,https://ckcc.ca/,,,,"Major convention facility in Chatham-Kent"
Kingsville,Colasanti's Tropical Gardens,Event Venue,1550 Road 3 East,ON,N9Y 2E5,519-326-3287,https://www.colasanti.com/,,,,"15 greenhouses, event space, 3.5 acres"
