City,Institution Name,Department,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,St. Clair College,International Recruitment,"Welcome Centre Room A2405, 2000 Talbot Road West",ON,N9A 6S4,(519) 972-2727 x4946,https://www.stclaircollege.ca/international/contact,Alex Wu,Manager - International Recruitment,awu@stclaircollege.ca; international student recruitment
Windsor,St. Clair College,International Student Housing,"2000 Talbot Road West",ON,N9A 6S4,(519) 972-2727 x4104,https://www.stclaircollege.ca/international/accommodations,Stephen Carter,International Department Student Housing Administrator,scarter@stclaircollege.ca; coordinates GEM Residence and off-campus housing
Windsor,St. Clair College,GEM Residence,"St. Clair College Main Campus, 2000 Talbot Road West",ON,N9A 6S4,(519) 966-1601,https://www.stclaircollege.ca/international/housing/gem-residence,N/A,N/A,"512 beds; 62 eight-bed units + 4 four-bed units; gem.residence@outlook.com"
Windsor,St. Clair College,Student Services,"2000 Talbot Road West",ON,N9A 6S4,(519) 972-2727 x4674,https://www.stclaircollege.ca/student-services/,Joseph Ibrahim,Director - Student Services,jibrahim@stclaircollege.ca; academic advising and student support
Windsor,St. Clair College,Human Resources,"Room A2342 Second Floor, 2000 Talbot Road West",ON,N9A 6S4,(519) 972-2727 x4204,https://www.stclaircollege.ca/careers/team,Joe Sirianni,Senior Vice President - Human Resources and Facilities Services,jsirianni@stclaircollege.ca; employee relocation inquiries
Windsor,St. Clair College,Human Resources - Operations,"Room A2342 Second Floor, 2000 Talbot Road West",ON,N9A 6S4,(519) 972-2727 x4223,https://www.stclaircollege.ca/careers/team,Lynn Thomas,Senior Manager - Human Resources Health Safety & Wellness,lthomas@stclaircollege.ca; Mon-Fri 8am-5pm
Windsor,St. Clair College SRC,Student Housing Services,"2000 Talbot Road West Box 5",ON,N9A 6S4,(519) 972-2716,https://www.stclair-src.org/services/housing,N/A,N/A,Student Representative Council housing support; off-campus listings
Windsor,St. Clair College SRC,TD Student Centre Office,"305 Victoria Avenue",ON,N9A 4M7,(519) 972-2727 x4823,https://www.stclair-src.org/,N/A,N/A,Downtown student services location
Windsor,St. Clair College,Centre for the Arts (Downtown),"201 Riverside Drive West",ON,N9A 5K4,(519) 252-8311,https://www.stclaircollege.ca/programs/locations/downtown-campus-windsor,N/A,N/A,Downtown campus location
Windsor,St. Clair College,MediaPlex (Downtown),"275 Victoria Avenue",ON,N9A 6Z8,(519) 972-2727,https://www.stclaircollege.ca/programs/locations/downtown-campus-windsor,N/A,N/A,Media and creative arts programs
Windsor,St. Clair College,Zekelman School of Business (Downtown),"1 Riverside Drive West",ON,N9A 5K3,(519) 966-1656,https://www.stclaircollege.ca/programs/locations/downtown-campus-windsor,N/A,N/A,Business programs downtown location
Windsor,St. Clair Residence (Private Partner),Windsor Residence,"Near St. Clair College Main Campus",ON,N9A 6S4,(519) 966-1601,https://stclairresidence.ca/,N/A,Property Manager,info@stclairresidence.ca; private student housing alternative
Chatham,St. Clair College,Chatham Campus,"1001 Grand Avenue West",ON,N7M 5W4,(519) 354-9100,https://www.stclaircollege.ca/programs/locations/chatham-campus,N/A,N/A,"1,300 students; 25 programs; health sciences business technology focus"
Chatham,St. Clair College,Chatham Campus HealthPlex,"1001 Grand Avenue West",ON,N7M 5W4,(519) 354-9100 x3401,https://www.stclaircollege.ca/healthplex,N/A,N/A,Health sciences facilities
Chatham,St. Clair College,Chatham Residence (On-Campus),"1001 Grand Avenue West",ON,N7M 5W4,(519) 966-1601,https://stclairresidence.ca/,N/A,N/A,"48 students in townhouse-style residence; 18 units"
Chatham,St. Clair College,La Residence (Chatham),"335 King Street West Unit 001-B1",ON,N7M 1G2,(548) 886-8121,https://www.stclaircollege.ca/international/housing/la-residence,N/A,Property Manager,"72-student residence; staff on-site Mon-Fri 10am-4pm"
Chatham,St. Clair Residence (Private Partner),Chatham Downtown Residence,"336 King Street West",ON,N7M 1G2,(519) 966-1601,https://stclairresidence.ca/,N/A,N/A,Student housing alternative Chatham location
Ridgetown,University of Guelph,Ridgetown Campus - Main Office,"120 Main Street East",ON,N0P 2C0,(519) 674-1500,https://www.ridgetownc.com/,N/A,N/A,"~600 students; agriculture horticulture veterinary environmental programs; rcadmin@uoguelph.ca"
Ridgetown,University of Guelph,Ridgetown Campus - Housing,"Steckley Hall 120 Main Street East",ON,N0P 2C0,(519) 674-1500 x63536,https://www.ridgetownc.com/current/housing/,N/A,Residence Department,rchousing@uoguelph.ca; first-year residence guarantee if deadline met
Ridgetown,University of Guelph,Ridgetown Campus - International Admissions,"120 Main Street East",ON,N0P 2C0,(519) 674-1500 x63256,https://www.ridgetownc.com/future/admission-international/,N/A,N/A,rcampus@uoguelph.ca; international student admissions
