City,Organization Name,Type/Category,CRA Registration #,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Chatham,Chatham-Kent 4-H Association,Youth Organization (Agriculture),,P.O. Box - Contact via email,ON,,,http://4-hontario.ca/association/chatham-kent-4-h-association/,,,Ages 6-21 programs. Email: chathamkent4h@gmail.com
Chatham,Scouts Canada - Southwestern Ontario Administrative Centre,Youth Organization,,Contact Scouts Canada,ON,,519-725-0265,https://www.scouts.ca/,,,Scouting programs for youth
Chatham,PAW Pet and Wildlife Rescue,Animal Welfare,,405 Park Ave. E.,ON,N7M 3W4,226-996-9969,https://pawr.org/,,,Municipal animal control contractor. 3000+ animals annually
Chatham,CK Animal Rescue,Animal Welfare,,270 Inshes Ave,ON,N7M 2Z7,519-354-5000,https://ckanimalrescue.com/,,,Founded October 2010
Chatham,Chatham Kent Animal Rescue,Animal Welfare,,270 Inshes Ave,ON,N7M 2Z7,519-354-5000,,,,Rescue organization (same as CK Animal Rescue)
Chatham,Feral to Forever Cat Rescue,Animal Welfare,,Contact via website,ON,,,,,,Cat rescue TNR program
Chatham,Wandering Whiskers,Animal Welfare,,Contact via website,ON,,,,,,Animal rescue
Chatham,Blenheim Area Prevent a Litter,Animal Welfare,,Blenheim,ON,N0P 1A0,,,,,Spay/neuter program
Chatham,Ontario SPCA Chatham,Animal Welfare,,405 Park Ave E,ON,N7M 3W4,519-354-1713,https://ontariospca.ca/,,,Provincial SPCA location. Mon-Fri 10am-5pm; Sat-Sun 9am-4pm
Chatham,Lower Thames Valley Conservation Authority,Environmental/Conservation,,100 Thames Street,ON,N7L 2Y8,519-354-7310,https://lowerthames-conservation.on.ca/,,,Watershed management from Delaware to Lake St. Clair
Chatham,Chatham-Kent Arts Council,Arts/Culture,,75 William St N (Cultural Centre),ON,N7M 4L4,,https://www.ckartscouncil.ca/,,,Advocates for local artists and arts organizations
Chatham,Thames Art Gallery (TAG),Arts/Culture,,75 William St N,ON,N7M 4L4,,https://www.tagartspace.com/,,,Non-profit gallery est. 1963 at Chatham Cultural Centre
Chatham,ARTspace,Arts/Culture,,75 William St N,ON,N7M 4L4,,https://www.tagartspace.com/,,,Est. 2008 represents 30+ artists
Chatham,Chatham-Kent Museum,Arts/Culture/Heritage,,75 William St N,ON,N7M 4L4,,https://mychathamkent.ca/museums,,,Located at Chatham Cultural Centre
Chatham,Chatham-Kent Black Historical Society and Black Mecca Museum,Heritage/Cultural,,177 King Street East,ON,N7M 3N1,519-352-3565,https://ckbhs.org/,,,Incorporated 1994 at WISH Centre
Chatham,Portuguese Canadian Social Club of Chatham,Cultural/Ethnic Association,,346 Grand Ave E,ON,N7M 1W6,519-436-0040,,,,Portuguese community organization
Chatham,Masonic Lodge Chatham,Fraternal Organization,,430 Riverview Dr,ON,N7M 5J5,,https://www.chathammasons.com/,,,Chatham Masonic Hall
Chatham,Moose Lodge - Chatham - Loyal Order of Moose,Fraternal Organization,,850 Richmond St,ON,N7M 5J5,519-352-8291,,,,Seniors programs
Chatham,Knights of Columbus - Chatham Catholic Family of Parishes,Fraternal Organization,,Council 1412 c/o Parish Office,ON,,519-352-9483,https://ccfp.dol.ca/knights-of-columbus,,,Catholic men's organization
Chatham,Chatham-Kent Victim Services,Social Services,,24 Third Street,ON,N7M 5K5,519-436-6630,,,,Victim support services
Chatham,Restorative Justice Chatham-Kent,Social Services,,25 Creek Rd Suite 212,ON,N7M 4J1,519-380-0931,,,,Restorative justice programs
Chatham,New Beginnings ABI and Stroke Recovery Association,Health/Disability,,9 Maple Leaf Drive,ON,N7M 6H2,519-351-0297,,,,Brain injury and stroke support
Chatham,Alzheimer Society of Chatham-Kent,Health,,36 Memory Lane,ON,N7L 5M8,519-352-1043,,,,Dementia support
Chatham,Children's Treatment Centre of Chatham-Kent,Health/Youth,,355 Lark Street,ON,N7L 5B2,519-354-0520,,,,Pediatric treatment services
Chatham,CMHA Lambton-Kent,Mental Health,,100-240 Grand Ave West Suite 100,ON,N7L 1C1,519-436-6100,https://lambtonkent.cmha.ca/,,,24/7 Mental Health First Response. Also 1-855-211-2642
Chatham,Mental Health Network of Chatham-Kent,Mental Health,,71 Raleigh St,ON,N7M 2M9,519-351-3100,,,,Mon-Fri 8:30am-3:30pm. Email: jenny@mhnck.com
Chatham,Chatham-Kent Community Health Centres,Health/Community Health,,150 Richmond St,ON,N7M 1N9,519-397-5455,https://ckchc.ca/,,,Multi-service health agency with satellite offices
Chatham,Chatham-Kent Sexual Assault Crisis Centre,Crisis Services,,405 Riverview Dr Unit 101,ON,N7M 0N3,519-354-8688,https://cksacc.org/,,,24-hour crisis line. Office: 519-354-8908
Chatham,LINCK Child Youth and Family Supports,Child/Family Services,,495 Grand Ave W,ON,N7L 1C5,519-352-0440,https://linck.org/,,,Formerly Chatham-Kent Children's Services
Chatham,Goodwill Career Centre,Employment/Social Enterprise,,300 Lacroix Street Unit 7,ON,N7M 6M6,519-354-4400,,,,Employment services
Chatham,Adult Language & Learning,Education/Literacy,,240 King Street W. Suite 101,ON,N7M 1E7,519-354-7424,,,,Adult education programs
Chatham,Chatham-Kent Workforce Planning Board,Employment,,315 King Street West,ON,N7M 5K8,519-436-9299,,,,Labour market planning
Chatham,Junior Achievement of South Western Ontario,Youth/Education,,15 Wharncliffe Road North London,ON,N6H 2A1,519-439-4201,,,,Youth business education
Chatham,Humana Community Services,Social Services,,103-405 Riverview Dr,ON,N7M 0N3,519-432-2209,,,,Community services
Chatham,TransForm Shared Service Organization,Healthcare Support,,750 Richmond Street Unit A,ON,N7M 5J5,519-436-1221,,,,Shared services for healthcare
Chatham,FreeHelpCK,Food Security/Community Support,,35 Oxley Drive,ON,N7L 2K5,519-990-5178,,,,Free food pantries - 20+ locations
Chatham,Opportunity Villages Community Land Trust,Housing/Community Development,,100 Thames Street,ON,N7L 2Y8,519-436-8929,,,,Community land trust
Chatham,Habitat for Humanity Chatham-Kent,Housing,,55 Junction Ave,ON,N7M 0T5,519-352-4440,,,,Affordable housing
Chatham,Active Lifestyle Centre,Senior Services,,20 Merritt Ave,ON,N7M 6G9,519-352-5633,https://activelifestylecentre.org/,,,Adults 50+ recreation
Chatham,St. Andrew's Residence,Senior Services,,99 Park Street,ON,N7M 3R5,519-354-8103,,,,Senior residence
Chatham,Chatham Kent Community Foundation,Charitable Foundation,,P.O. Box 35,ON,N7M 5K1,,https://chathamkentcommunityfoundation.ca/,,,Granted $700K+ to 88 orgs in 2024
Chatham,Historic Downtown Chatham BIA,Business Improvement,,237 King Street West,ON,N7M 1E6,519-352-8387,,,,Downtown business association
Chatham,Chatham-Kent & Lambton Children's Water Festival,Education/Environment,,100 Thames St.,ON,N7L 2Y8,226-881-2453,,,,Children's environmental education
Chatham,St. Andrew's United Church,Religious - United Church,,85 William Street South,ON,N7M 4S5,519-352-0010,https://www.standrewschatham.org/,,,Est. 1834 - 188+ years history. Email: standrews1@bellnet.ca
Chatham,Christ Church Anglican,Religious - Anglican,,80 Wellington Street W,ON,N7M 1J1,,https://www.christchurchchatham.ca/,,,Anglican parish
Chatham,Chatham Catholic Family of Parishes,Religious - Catholic,,180 Wellington St W (St. Joseph),ON,N7M 3P3,519-352-9483,https://ccfp.dol.ca/,,,"Includes Blessed Sacrament, St. Agnes, St. Joseph, St. Ursula, Our Lady of Victory"
Chatham,Eben-Ezer Canadian Reformed Church,Religious - Reformed,,483 McNaughton Ave E,ON,N7L 2H2,519-352-1914,https://chatham-ebenezer.com/,,,Canadian Reformed. Email: ebenezerchatham@gmail.com
Chatham,Chatham Christian Centre,Religious - Christian,,181 Lacroix St,ON,N7M 2V3,519-351-2882,https://www.chathamchristian.com/,,,Christian church
Chatham,Praise Fellowship Church,Religious - Christian,,165 Park Ave E,ON,N7M 3V7,519-351-0066,https://www.praisefellowshipchurchchatham.com/,,,Serving since 1977
Chatham,Creekside Church - Chatham-Kent Campus,Religious - Christian,,Contact church for location,ON,,,https://www.creeksidechurch.ca/chathamkent/,,,Multi-campus church. Sundays at 10am
Chatham,First Baptist Church Chatham,Religious - Baptist,,135 King Street East,ON,N7M 3N1,519-352-5282,https://firstchatham.org/,,,Baptist church
Chatham,Chatham-Kent Public Library - Main Branch,Library/Community Hub,,120 Queen St,ON,N7M 2G6,,https://www.chatham-kent.ca/library/,,,Community hub and warming/cooling centre
Wallaceburg,Community Living Wallaceburg,Disability Services,,1100 Dufferin Ave,ON,N8A 2W1,519-627-0777,https://getintocommunityliving.com/,,,Founded 1956. 350+ individuals served
Wallaceburg,Rotary Club of Wallaceburg,Service Club,,507 Elizabeth St (Happy Craft Building),ON,N8A 3E1,,https://rotary6380.org/clubinfo/wallaceburg,,,Meets Thursdays 6:15 PM
Wallaceburg,Sydenham Community Curling Club,Recreation/Curling,,7379 N River Line,ON,N8A 4R4,519-627-3623,https://sydenhamcurlingclub.com/,,,Since 1963 serving Wallaceburg/Dresden area
Wallaceburg,Wallaceburg Adult Activity Centre,Senior Services,,205 James St,ON,N8A 2N4,519-627-6224,,,,Senior Citizens Club
Wallaceburg,Wallaceburg and District Historical Society,Heritage/Historical,,505 King Street,ON,N8A 1J1,519-627-8962,https://www.wallaceburgmuseum.ca/,,,Local history preservation
Wallaceburg,Wallaceburg Museum,Heritage/Museum,,505 King Street,ON,N8A 1J1,519-627-8962,https://www.wallaceburgmuseum.ca/,,,Industrial heritage focus - glass manufacturing
Wallaceburg,Jeanne Gordon Hall,Arts/Culture,,505 King Street,ON,N8A 1J1,,,,,Above Wallaceburg Museum - community events
Wallaceburg,Kent Lambton Roman Catholic Family of Parishes,Religious - Catholic,,647 Murray St (Holy Family),ON,N8A 1N1,,https://klrcfp.com/,,,"Serves Wallaceburg, Port Lambton, Dresden"
Wallaceburg,Church of the Holy Family Wallaceburg,Religious - Catholic,,647 Murray St,ON,N8A 1N1,,https://gcatholic.org/churches/canada-ontario/10557.htm,,,Catholic parish
Wallaceburg,Church of Our Lady Help of Christians Wallaceburg,Religious - Catholic,,422 Elgin Street,ON,N8A 3C1,,https://gcatholic.org/churches/canada-ontario/10558,,,Catholic parish
Wallaceburg,Bethel Church Wallaceburg,Religious - Christian,,McNaughton Ave,ON,N8A 3E7,,https://www.bethelwallaceburg.com/,,,Christian church
Wallaceburg,Wallaceburg & District Chamber of Commerce,Business Association,,P.O. Box 610,ON,N8A 4P2,,http://wallaceburgchamber.com/,,,Community links directory
Wallaceburg,Downtown Wallaceburg BIA,Business Improvement,,P.O. Box 610,ON,N8A 4P2,,,,,Downtown business association
Wallaceburg,Chatham-Kent Public Library - Wallaceburg Branch,Library/Community Hub,,209 James St,ON,N8A 2N4,,https://www.chatham-kent.ca/library/,,,Community hub
Wallaceburg,Royal Canadian Legion Branch 18 Wallaceburg,Veterans Organization,,52 Margaret Avenue,ON,N8A 1Z9,519-627-6663,https://www.branch18.ca/,,,Email: branch18@kent.net
Dresden,Dresden Agricultural Society,Agricultural/Fair Board,,255 Park St,ON,N0P 1M0,519-683-2572,,,,Local fair organization
Dresden,Dresden Minor Hockey,Youth Sports (Hockey),,231 St. George Street North,ON,N0P 1M0,519-683-6161,,,,Minor hockey programs
Dresden,Dresden Minor Hockey Moms,Youth Sports Support,,1212 North St,ON,N0P 1M0,519-683-8959,,,,Hockey mom support group
Dresden,Dresden Minor Baseball,Youth Sports (Baseball),,941 North Street,ON,N0P 1M0,519-365-7900,,,,Minor baseball
Dresden,Dresden Stingrays,Youth Sports (Swimming),,Kinsmen Community Pool Tecumseh Street,ON,N0P 1M0,519-683-4862,,,,Swimming club
Dresden,Dresden Lawn Bowling Club,Recreation,,304 Sydenham St,ON,N0P 1M0,519-683-2097,,,,Lawn bowling
Dresden,Kinsmen Club of Dresden,Service Club,,740 Tecumseh St,ON,N0P 1M0,519-784-2401,,,,Service club
Dresden,Rotary Club of Dresden,Service Club,,547 North Street,ON,N0P 1M0,,,,,Service club
Dresden,Royal Canadian Legion Branch 113 Dresden,Veterans Organization,,180 St George Street,ON,N0P 1M0,519-683-4475,,,,Legion branch
Dresden,1st Dresden Brownies & Girl Guides,Youth Organization,,547 North Street,ON,N0P 1M0,519-401-4014,,,,Girl Guides unit
Dresden,Dresden EarlyON Child and Family Centre,Child/Family Services,,231 St George St N,ON,N0P 1M0,,,,,Early years programming
Dresden,Dresden Community Healthcare Foundation,Health/Hospital Foundation,,530 Tecumseh St,ON,N0P 1M0,1-833-433-0996,,,,Healthcare foundation
Dresden,Dresden Sidestreets Youth Centre,Youth Services,,175 Main St,ON,N0P 1M0,519-683-4222,,,,Youth centre
Dresden,Dresden Community Development Association,Community Development,,547 North Street,ON,N0P 1M0,519-683-2153,,,,Community development
Dresden,Dresden Shines,Community Beautification,,557 North Street,ON,N0P 1M0,519-683-4222,,,,Beautification committee
Dresden,Dresden Terry Fox Run Committee,Health/Fundraising,,Legion site,ON,N0P 1M0,519-401-7880,,,,Annual Terry Fox Run
Dresden,Dresden and District Horticultural Society,Horticulture/Garden Club,,116 St John St E,ON,N0P 1M0,519-683-4222,,,,Garden club
Dresden,Downtown Dresden BIA,Business Improvement,,445 St. George Street,ON,N0P 1M0,,,,,Downtown business association
Dresden,Czech Hall,Cultural/Ethnic Association,,116 St John Street East,ON,N0P 1M0,519-683-8916,,,,Czech cultural centre
Dresden,Lambton-Kent Composite School Booster Club,Education/School Support,,231 St. George St.,ON,N0P 1M0,519-683-4892,,,,School support organization
Dresden,North Dresden Baptist Church,Religious - Baptist,,182 Trerice St. W.,ON,N0P 1M0,519-683-1116,,,,Baptist church
Dresden,Dresden Christian Reformed Church,Religious - Reformed,,956 Mooney St,ON,N0P 1M0,,https://www.dresdencrc.org/,,,Christian Reformed
Dresden,St. Andrew's Presbyterian Church Dresden,Religious - Presbyterian,,265 St. George Street North,ON,N0P 1M0,,,,,Presbyterian church
Dresden,Church of St. Michael Dresden,Religious - Catholic,,690 Tecumseh Street,ON,N0P 1M0,519-692-3874,,,,Catholic parish
Dresden,Wasbash Woman's Institute,Women's Organization,,24631 Huff's Side Road,ON,N0P 1M0,519-351-1228,,,,Women's Institute (Thamesville address)
Dresden,Chatham-Kent Public Library - Dresden Branch,Library/Community Hub,,187 Brown St,ON,N0P 1M0,,https://www.chatham-kent.ca/library/,,,Community hub
Dresden,Uncle Tom's Cabin Historic Site (Josiah Henson Museum),Heritage/Museum,,29251 Freedom Road,ON,N0P 1M0,519-683-2978,https://www.heritagetrust.on.ca/properties/josiah-henson-museum,,,Underground Railroad historic site. Renamed 2022
Tilbury,Rotary Club of Tilbury,Service Club,,20 Dupuis St (Knights of Columbus Hall),ON,N0P 2L0,,https://portal.clubrunner.ca/1087,,,Meets Tuesdays 12:10 PM
Tilbury,Tilbury Lions Club,Service Club,,3347 Quinn Line,ON,N0P 2L0,,,,Lions club
Tilbury,Tilbury and District Historical Society,Heritage/Historical,,20 Canal St W,ON,N0P 2L0,519-682-2020,https://tadhs.com/,,,Local history. Housed in oldest house in Tilbury (c.1855)
Tilbury,Tilbury Leisure Centre,Recreation/Senior Services,,10 Canal St W,ON,N0P 2L0,519-682-1020,,,,Recreation and seniors programs
Tilbury,Tilbury Information & H.E.L.P. Centre,Social Services,,20 Queen Street North,ON,N0P 2L0,519-682-2268,,,,United Way program
Tilbury,Chatham-Kent Public Library - Tilbury Branch,Library/Community Hub,,2 Queen St N,ON,N0P 2L0,,https://www.chatham-kent.ca/library/,,,Community hub
Tilbury,Tilbury Golf Club,Recreation/Golf,,20425 County Road 46,ON,N0P 2P0,519-682-1423,https://www.tilburygolfclub.com/,,,Golf club
Ridgetown,Rotary Club of Ridgetown,Service Club,,16 Church St (Anglican Parish Hall),ON,N0P 2C0,226-798-0625,https://www.ridgetownrotary.org/,,,Meets every 2nd Monday 6:30 PM. Email: info@ridgetownrotary.org
Ridgetown,Ridgetown Golf & Curling Club,Recreation/Sports,,12438 Golf Course Line,ON,N0P 2C0,,https://golfnorth.ca/ridgetown/,,,Est. 1923 - 100+ years
Ridgetown,Ridgetown and Area Adult Activity Centre - The Centre,Senior Services,,40 Erie St S,ON,N0P 2C0,519-674-5126,,,,Adult activity centre
Ridgetown,Ridge House Museum,Heritage/Museum,,53 Erie Street South,ON,N0P 2C0,,https://www.chatham-kent.ca/explore/museums/Pages/Ridge-House-Museum.aspx,,,Restored 1875 Victorian home
Ridgetown,Kenesserie Camp,Youth Camp,,18669 Kenesserie Road,ON,N0P 2C0,519-674-2497,,,,Youth camp
Ridgetown,Chatham-Kent Public Library - Ridgetown Branch,Library/Community Hub,,54 Main St W,ON,N0P 2C0,,https://www.chatham-kent.ca/library/,,,Community hub
Ridgetown,Ridgetown Agricultural Society,Agricultural/Fair Board,,20480 Victoria Rd,ON,N0P 2C0,519-350-6926,,,,Local fair organization. Email: ridgetowndistrictag@gmail.com
Blenheim,Rotary Club of Blenheim,Service Club,,24 John Street West (Talbot Trail Place Park),ON,N0P 1A0,519-676-7007,https://www.blenheimrotary.org/,,,Meets 2nd/4th Tuesday 6:30 PM. No meetings July/August
Blenheim,Blenheim and Community Senior Centre,Senior Services,,55 Jane St,ON,N0P 1A0,519-676-3894,https://blenheimseniorcentre.ca/,,,Adults 50+ programs
Blenheim,Blenheim Youth Centre,Youth Services,,78 Marlborough St S,ON,N0P 1A0,519-676-0207,,,,Youth programming
Blenheim,Blenheim Food Bank,Food Bank,,24 Talbot St E (Blenheim Baptist Church),ON,N0P 1A0,,,,,Food assistance. Wed/Thu 1-4pm
Blenheim,Blenheim Military Museum,Heritage/Museum,,27 George St,ON,N0P 1A0,519-676-4222,,,,Military artifacts and history. Thu-Sat 1-4pm
Blenheim,Salvation Army - Blenheim,Social Services/Religious,,Blenheim Baptist Church 24 Talbot St E,ON,N0P 1A0,,,,,Satellite location
Blenheim,Willow Ridge Golf & Country Club,Recreation/Golf,,439 Chatham Street South,ON,N0P 1A0,,https://willowridgegolf.ca/,,,Golf club
Bothwell,Bothwell Optimist International,Service Club,,Contact via club,ON,N0P 1C0,,,,,Optimist club
Bothwell,Bothwell Senior Citizens,Senior Services,,122 Elm St,ON,N0P 1C0,,,,,Senior programs
Bothwell,Bothwell Boomtown Players,Arts/Theatre,,Contact via group,ON,N0P 1C0,,,,,Amateur theatrical troupe since 1986
Bothwell,Southern First Nations Secretariat,Indigenous Organization,,22361 Austin Line,ON,N0P 1C0,519-692-5868,,,,First Nations services
Bothwell,Chatham-Kent Public Library - Bothwell Branch,Library/Community Hub,,320 Main St,ON,N0P 1C0,,https://www.chatham-kent.ca/library/,,,Community hub
Thamesville,Knights of Columbus Council #7251 Thamesville,Fraternal Organization,,Contact via council,ON,N0P 2K0,,https://portal.chatham-kent.ca/businessdirectory/moreinfo?b_id=7982,,,Catholic men's organization
Thamesville,Thamesville Sertoma Club,Service Club,,Contact via club,ON,N0P 2K0,,,,,Service club
Thamesville,Chatham-Kent Public Library - Thamesville Branch,Library/Community Hub,,3 London Rd,ON,N0P 2K0,,https://www.chatham-kent.ca/library/,,,Community hub
Wheatley,Wheatley and District Friendship Club,Senior Services,,171 Erie St N PO Box 291,ON,N0P 2P0,519-825-4870,,,,Senior friendship club
Wheatley,Old Colony Mennonite Church Wheatley,Religious - Mennonite,,Wheatley Road,ON,N0P 2P0,,,,,Mennonite church
Wheatley,Chatham-Kent Public Library - Wheatley Branch,Library/Community Hub,,35 Talbot St W,ON,N0P 2P0,,https://www.chatham-kent.ca/library/,,,Community hub
Wheatley,Talbot Trail Golf Course,Recreation/Golf,,790 Talbot Trail,ON,N0P 2P0,519-825-4521,https://talbottrailgolfclub.com/,,,Golf course
Merlin,Merlin and Area Kinsmen Park Foundation,Recreation/Parks,,Contact via foundation,ON,N0P 1W0,,,,,Park maintenance foundation
Merlin,Chatham-Kent Public Library - Merlin Branch,Library/Community Hub,,13 Aberdeen St,ON,N0P 1W0,,https://www.chatham-kent.ca/library/,,,Community hub
Pain Court,Club des Aines de Pain Court,Senior Services - Francophone,,Immaculee Conception Church,ON,N0P 1Z0,,,,,"Founded 1975, French seniors club"
Pain Court,Societe des Dames de Ste-Anne de Pain Court,Women's Organization - Religious,,Contact via church,ON,N0P 1Z0,,,,,"Founded 1915, Catholic women's group"
Pain Court,La Girouette Community Center,Cultural/Francophone,,Contact via organization,ON,N0P 1Z0,,,,,Promotes French language and culture in CK
Pain Court,Pretty in Pink Pain Court,Health/Cancer Support,,Contact via organization,ON,N0P 1Z0,,,,,"Founded 2006, Relay for Life support"
Pain Court,Immaculee Conception Church Pain Court,Religious - Catholic,,24150 Winter Line Rd,ON,N0P 1Z0,519-354-3694,,,,French Catholic parish. Office by appointment
Grande Pointe,Dover Kinsmen,Service Club,,Contact via club,ON,N0P 1E0,,,,,"Serves Pain Court, Grande Pointe, Mitchell's Bay"
Grande Pointe,St. Charles Garnier Parish,Religious - Catholic,,Contact via parish,ON,N0P 1E0,,,,,French Catholic parish
North Buxton,Buxton National Historic Site & Museum,Heritage/Museum,,21975 A D Shadd Rd,ON,N0P 1Y0,519-352-4799,,,,Underground Railroad heritage
Morpeth,Morpeth Heritage 60+ Club,Senior Services,,12579 Talbot Trail,ON,N0P 1X0,519-365-1120,,,,Senior club
Highgate,Chatham-Kent Public Library - Highgate Branch,Library/Community Hub,,291 King St,ON,N0P 1T0,,https://www.chatham-kent.ca/library/,,,Community hub
Highgate,Highgate and District Lions Club,Service Club,,19821 Duart Rd,ON,N0L 1X0,,,,Lions club
Chatham,Links of Kent Golf Club,Recreation/Golf,,120 Indian Creek Road West,ON,N7M 2E2,,https://linksofkent.com/,,,Semi-private course with event centres
Chatham,Hidden Hills Golf & Country Club,Recreation/Golf,,25393 St Clair Rd Dover Centre,ON,N0P 1L0,,https://hiddenhillsgcc.com/,,,27-hole golf course
Chatham,Maple City Country Club,Recreation/Golf,,10845 River Line,ON,N7M 5J4,519-354-4715,https://www.maplecitycc.com/,,,Golf club
Chatham,Theatre Kent,Arts/Theatre,,75 William St N (Kiwanis Theatre),ON,N7M 4L4,,,,Live theatrical performances
Chatham,Take a Bow Productions,Arts/Theatre,,75 William St N (Kiwanis Theatre),ON,N7M 4L4,,,,Live theatrical productions
Chatham,Four Counties Health Services Foundation,Health/Hospital Foundation,,1824 Concession Dr Newbury,ON,N0L 1Z0,519-693-4441,https://fchsfoundation.ca/,,,Regional health foundation
Chatham,SWONT Conductive Education Trust Fund,Health/Disability,,Contact via organization,ON,,,,,,Conductive education services
Chatham,The Village Resource Centre,Social Services,,Contact via organization,ON,,,,,,Community resource centre
Chatham,Knox Pantry and Soup Cellar,Food Security,,Contact via organization,ON,,,,,,Food assistance
Chatham,Chatham-Kent Family Health Team,Health,,Contact via CKFHT,ON,,,https://ckfht.ca/,,,"Primary care team, $8310 grant recipient"
Chatham,100 Women Who Care Chatham-Kent,Charitable Giving Circle,,Contact via organization,ON,,,https://www.100womenwhocarechathamkent.com/,,,Women's giving circle
Chatham,Chatham-Kent Association of REALTORS,Professional Association,,P.O. Box 362 Station Main,ON,N7M 5K6,519-352-4351,,,,Real estate professional association
Chatham,Chatham United Soccer,Youth Sports (Soccer),,170 McNaughton Ave W,ON,N7L 1R4,,https://chathamunitedsoccer.org/,,,Recreational and competitive soccer
Chatham,East Chatham Little League,Youth Sports (Baseball),,Contact via league,ON,,,https://www.eastchathambaseball.com/,,,Little League baseball
Chatham,Chatham-Kent Ontario Health Team,Healthcare Coordination,,Contact via CKOHT,ON,,,https://www.ckoht.ca/,,,Integrated healthcare coordination
