City,Company Name,Type/Industry,Street Address,Province,Postal Code,Phone,Website,Decision Maker Name,Title / Role,Notes
Windsor,React Tool & Mold Inc,Tool & Mold,1765 Moro Dr RR#1,ON,N9A 6J3,(519) 737-1261,reactmold.com,Jeff Frattaroli,Owner,"35000 sq ft facility; since 1987; Anthony Frattaroli Key Principal"
Windsor,Calibur Tool and Mold,Tool & Mold,2960 Kew Dr,ON,N8T 3G7,,caliburtoolandmold.com,Dino Miceli,President,"65+ years management experience; plastic injection/compression molds"
Windsor,Glider Guard Tool & Die,Tool & Die,,,,,gliderguard.com,Cox Family,Owners,"Founded 1945; stamping dies/progressive dies; Brenn Cox Engineering Manager; $2.8M expansion 2024"
Windsor,PAPP Plastics & Distributing Ltd,Plastics Manufacturing,6110 Morton Industrial Pkwy,ON,N9J 3W3,,pappplastics.com,Michael Papp,President,"Tier 1/2 automotive; 89 employees; 300-4000T presses; since 1991"
Windsor,PAPP Plastics & Distributing Ltd,Plastics Manufacturing,6110 Morton Industrial Pkwy,ON,N9J 3W3,,pappplastics.com,George Papp,Owner / GM,
Windsor,Windsor Machine Group,Automotive Manufacturing,Windsor,ON,,,windsormachine.com,Greg Peltier,President & CEO,"Founded 1946; headrests/armrests; 2500+ employees globally"
Windsor,Windsor Machine Group,Automotive Manufacturing,Windsor,ON,,,windsormachine.com,Chris Peltier,COO,
Windsor,Windsor Machine Group,Automotive Manufacturing,Windsor,ON,,,windsormachine.com,David Zultek,CFO,
Windsor,WMG Technologies / Windsor Mold Group,Automotive Tier 1,Windsor,ON,,,wmgtec.com,David Mastronardi,President & CEO,"Acquired by ABC Technologies 2022; founded 1972"
Windsor,Lakeside Plastics,Plastics Manufacturing,3786 North Talbot Rd Oldcastle,ON,N0R 1L0,,lakesideplastics.com,Glenn Coates,President (pre-acquisition),"Acquired by KB Components 2021; 330 employees; GM Supplier of Year"
Windsor,A.P. Plasman Inc / Build-A-Mold,Plastics & Tooling,Windsor,ON,,,plasman.com,Mark Sullivan,CEO (Plasman Group),"Founded 1978; 1100 employees; $262M sales"
Windsor,A.P. Plasman Inc / Build-A-Mold,Plastics & Tooling,Windsor,ON,,,plasman.com,David Wiskel,President - AP Plasman,
Windsor,Active Industrial Solutions,Automation & Tooling,2155 North Talbot Rd,ON,N9A 6J3,,aistechnologies.com,Doug LoFranco,President & CEO (AIS Technologies),"Gauge & fixture; automation; specialty machining; since 1977"
Windsor,Anchor Danly,Tool Components & Fabrication,2590 Ouellette Ave,ON,N8X 1L7,,anchordanly.com,Paul Brisebois,President,"Die sets/steel plates/fabrication; 566 employees; Hidden Harbor owned"
Windsor,Colonial Tool Group Inc,Broaching & Spindles,1691 Walker Rd,ON,,,colonialtool.com,Paul Thrasher,President & CEO,"Founded 1929; 55 employees; manager buyout 1993"
Windsor,Colonial Tool Group Inc,Broaching & Spindles,1691 Walker Rd,ON,,,colonialtool.com,Brett Froats,Vice President,
Windsor,Magna Windsor Modules,Automotive Manufacturing,9305 Twin Oaks Dr,ON,N8N 5B8,,magna.com,Brian Alexander,General Manager,"Mechatronics; powered tonneau covers; 110+ new jobs"
Tecumseh,Integram Windsor Seating,Automotive Seating,201 Patillo Rd,ON,,,magna.com,Danielle Chatten,Human Resources Manager,"Magna Seating; 900 employees; seats for Stellantis"
Oldcastle,Platinum Tool Technologies,Tool & Mold,2075 Fasan Dr,ON,N0R 1L0,,platinum-tool.com,Dan Moynahan,President,"AarKel owned; Mexico operations"
Leamington,Ruthven Greenhouse Construction,Greenhouse Construction,420 Essex County Rd 14,ON,N8H 3V8,(519) 326-8808,ruthvengreenhouse.com,Anchor Hunt,President & CEO,"Neufeld Brothers founders; 25+ years; $6M revenue"
Leamington,Great Lakes Greenhouses,Greenhouse/Agriculture,834 Mersea Rd 4,ON,N8H 3V6,,greatlakesg.com,Paul Dyck,Founder/Owner,"Founded 1983; largest NA cucumber grower; 350+ employees"
Leamington,Great Lakes Greenhouses,Greenhouse/Agriculture,834 Mersea Rd 4,ON,N8H 3V6,,greatlakesg.com,Chris Jones,VP Business & Operations,
Leamington,Great Lakes Greenhouses,Greenhouse/Agriculture,834 Mersea Rd 4,ON,N8H 3V6,,greatlakesg.com,Jeff Richardson,VP Sales,
Chatham,Riverview Gardens,Municipal LTC,Chatham,ON,,,chatham-kent.ca,Jessica Francis,Director Seniors Services,"320 beds; largest in region"
Chatham,Dana Canada Corporation,Automotive Manufacturing,1010 Richmond St,ON,N7M 5J5,(519) 351-0763,dana.com,Tracey Arnold,HR Manager,"Heat shields; est 2002; 95 workers"
Chatham,Martinrea Metallica,Automotive Stamping,Chatham-Kent,ON,,,martinrea.com,Keith Bardon,Plant Manager,"Metal stampings/welded assemblies"
Ridgetown,Martinrea Ridgetown,Automotive Stamping,99 Golf Course Line,ON,N0P 2C0,,martinrea.com,Don Gillier,General Manager,"Est 1987; 150 employees; $35M expansion 2024"
Wallaceburg,AarKel Tool and Die Inc,Tool & Die,17 Elm Dr S,ON,N8A 5E8,,aarkel.com,Larry Delaey,President & CEO,"Est 1977; ISO 9001; die cast Al/Mg tooling; $12.6M revenue"
Windsor,HIROTEC America (Auburn Hills),Automotive Manufacturing,Auburn Hills,MI,,,hirotecamerica.com,Katsu Uno,Chairman & CEO,"Body-in-white closures; exhaust systems; Phil Zanolli COO"
