City,Hospital/Healthcare Facility Name,Type,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Number of Beds/Staff,Notes
Leamington,Erie Shores HealthCare,Hospital,194 Talbot Street West,ON,N8H 1N9,519-326-2373,https://www.erieshoreshealthcare.ca,Danielle Carlini,Human Resources Manager,58 beds,"HR contact for staff recruitment and relocation"
Leamington,Erie Shores Health Foundation,Hospital Foundation,194 Talbot Street West,ON,N8H 1N9,519-326-2373,https://www.eshf.ca,Christine Colautti,Executive Director,,"Fundraising for Erie Shores HealthCare"
Leamington,Erie Shores Family Health Team - Main,Family Health Team,197 Talbot Street West Suite 101/204/206,ON,N8H 1N8,519-322-1100,https://erieshoresfht.ca,Jenna Foley,Executive Director,,"6 locations in Leamington and Kingsville area; Leamington Medical Village"
Leamington,Windsor Essex Community Health Centre - Leamington,Community Health Centre,33 Princess Street Unit 450,ON,N8H 5C5,519-997-2828,https://wechc.org/location/leamington,Nancy Brockenshire,Executive Director,,"Primary care; serves South Essex; inter-professional collaborative care"
Leamington,Windsor-Essex County Health Unit - Leamington Office,Public Health Unit,33 Princess Street,ON,N8H 5C5,519-326-5716,https://www.wechu.org,Dr. Kenneth Blanchette,CEO (WECHU),,"Hub 33 location; public health services for South Essex"
LaSalle,UMC Urgent Care - LaSalle,Urgent Care Centre,6525 Malden Road,ON,N9H 1T5,519-970-9305,https://theumc.ca,,,,"Essential Medical Building; Mon-Fri 10am-7pm; Sat-Sun 9am-1pm"
LaSalle,LaSalle After Hours Walk-In Clinic,Walk-In Clinic,6525 Malden Road,ON,N9H 1T5,519-970-9305,,,,,Evening and weekend walk-in care
LaSalle,LaSalle Medical Clinic,Walk-In Clinic,2125 Front Road,ON,,,https://medimap.ca,,,,"Walk-in services"
LaSalle,Active Body Physical Therapy,Rehabilitation,1765 Sprucewood Avenue,ON,N9J 1X7,,https://www.activebodytherapy.com,,,,"Physiotherapy; sports injury"
Belle River/Lakeshore,Lakeshore Community Nurse Practitioner-Led Clinic,Nurse Practitioner Clinic,330 Notre Dame Street Suite 200,ON,N0R 1A0,519-728-9116,https://lcnplc.ca,,,,"Primary care for patients without family doctor"
Belle River/Lakeshore,Lakeshore Medical Walk-In Clinic,Walk-In Clinic,330 Notre Dame Street Suite 101,ON,N0R 1A0,519-728-0574,,,,,Mon-Thu varied hours; call ahead
Belle River/Lakeshore,Belle River Medical Centre,Clinic,571 Notre Dame Street,ON,N0R 1A0,519-728-4497,,,,,Family practice
Belle River/Lakeshore,Lakeshore MedArts Walk-In Clinic,Walk-In Clinic,1303 Essex County Road 22,ON,N0R 1A0,226-363-0930,http://lakeshoremedarts.com,,,,"Walk-in medical clinic"
Kingsville,Erie Shores Family Health Team - Kingsville,Family Health Team,59 Main Street East Units 10 & 12,ON,N9Y 1A1,519-322-1100,https://erieshoresfht.ca,Jenna Foley,Executive Director,,"Kingsville Plaza location; satellite of Erie Shores FHT"
Kingsville,TMC Clinic - Kingsville,Urgent Care Centre,273 Main Street East,ON,N9A 1A7,226-526-5559,https://www.tmcurgentcarekingsville.com,,,,"Walk-in urgent care; Mon-Fri 9am-5pm; Sat 9am-2pm; Sun 10am-2pm"
Kingsville,Essex County Nurse Practitioner-Led Clinic - Kingsville,Nurse Practitioner Clinic,Kingsville,ON,,519-776-6856,https://ecnplc.ca,Laura Levesque,Executive Director,,"Primary care; satellite location"
Amherstburg,Amherstburg Family Health Team,Family Health Team,721 Front Road South Unit 101,ON,N9V 2M4,519-736-7770,https://afht.ca,Jean Piccinato,Executive Director,,"Primary care services; jpiccinato@afht.ca"
Amherstburg,Amherstburg Health Care Centre,Clinic,433 Sandwich Street South,ON,N9V 3K8,,https://amherstburghcc.ca,,,,"Blood labs; X-ray; ultrasound"
Amherstburg,Amherstburg Medical Associates and Walk-In Clinic,Walk-In Clinic,71 Sandwich Street South,ON,N9V 1Z6,,https://www.doctr.ca,,,,"Walk-in medical services"
Amherstburg,Essex County Nurse Practitioner-Led Clinic - Amherstburg,Nurse Practitioner Clinic,269 Sandwich Street South,ON,N9V 2A6,519-730-1665,https://ecnplc.ca,Laura Levesque,Executive Director,,"Primary care for patients without family doctor"
Tecumseh,TMC Clinic - Tecumseh,Urgent Care Centre,13278 Tecumseh Road East Suite 101,ON,N8N 3T6,519-979-5260,https://www.tmcurgentcaretecumseh.com,,,17 medical professionals,"Open 365 days; Mon-Thu 7:30am-8pm; Fri 7:30am-6pm; Sat-Sun 8:30am-3pm"
Tecumseh,Tecumseh Walk-In Clinic,Walk-In Clinic,11811 Tecumseh Road East Unit 104,ON,N8N 4M7,519-979-3355,https://tecumsehwalkinclinic.ca,,,,"Mon-Fri 8am-6pm; weekends 9am-3pm"
Tecumseh,Oasis Medical Centre Walk-In Clinic,Walk-In Clinic,486 Advance Boulevard,ON,N8N 0B8,519-727-0004,https://lakeshoreoasis.ca,,,,"Lakeshore Oasis Town Centre"
Tecumseh,Advanced Rehabilitation Centre - Tecumseh,Rehabilitation,13278 Tecumseh Road East Suite 200,ON,,519-735-2152,,,,,"Physiotherapy; rehabilitation"
Essex,Essex Walk-In Clinic,Walk-In Clinic,186 Talbot Street South,ON,N8M 1B6,519-776-1559,,,,,Mon-Fri 9am-4:30pm; Sat-Sun 9am-12:30pm; pharmacy; x-ray; ultrasound on site
Essex,Essex County Nurse Practitioner-Led Clinic - Essex,Nurse Practitioner Clinic,186 Talbot Street South Unit 200,ON,N8M 1B6,519-776-6856,https://ecnplc.ca,Laura Levesque,Executive Director,,"Primary care; main location for ECNPLC"
Essex,Essex Community Services,Community Services,35 Victoria Avenue Unit 7,ON,N8M 1M4,519-776-4231,http://essexcs.on.ca,,,,"Community support services"
Harrow,Harrow Health Centre Family Health Team,Family Health Team,1480 Erie Street South,ON,N0R 1G0,519-738-2000,https://harrowfht.ca,Andrew Atkins,Executive Director,,"Primary care; also operates McGregor Health Centre satellite; aatkins@harrowfht.ca ext 310"
Chatham,Chatham-Kent Health Alliance - Chatham Campus,Hospital,80 Grand Avenue West,ON,N7M 5L9,519-352-6400,https://www.ckha.on.ca,Adam Topp,President & CEO,200 beds total / 1500 staff / 200 physicians / 300 volunteers,"Effective October 2024; formerly Manitoba Shared Health CEO; 24/7 Emergency Room"
Chatham,Chatham-Kent Health Alliance,Hospital,80 Grand Avenue West,ON,N7M 5L9,519-352-6400,https://www.ckha.on.ca,Meredith Whitehead,VP Transformation & Chief Nursing Executive,200 beds,"Responsible for Nursing; Allied Health; HR; Quality; Diversity Equity Inclusion"
Chatham,Chatham-Kent Health Alliance,Hospital,80 Grand Avenue West,ON,N7M 5L9,519-352-6400,https://www.ckha.on.ca,Aaron Ryan,VP & Chief Financial Officer,200 beds,"Senior leadership team; financial operations"
Chatham,Chatham-Kent Health Alliance,Hospital,80 Grand Avenue West,ON,N7M 5L9,519-352-6400,https://www.ckha.on.ca,Caen Suni,VP Clinical Programs and Operations,200 beds,"Oversight for mental health & addictions; all clinical operations"
Chatham,Chatham-Kent Health Alliance,Hospital,80 Grand Avenue West,ON,N7M 5L9,519-352-6400,https://www.ckha.on.ca,Justin Turkington,Chief Human Resources Officer,200 beds,"Director of HR; Organizational Development; Occupational Health; Safety and Wellness"
Chatham,Chatham-Kent Health Alliance Foundation,Hospital Foundation,80 Grand Avenue West,ON,N7M 5L9,519-352-6400,https://ckhaf.ca,Christine Mitchell,President & CEO,,"Since June 2023; 2024 Outstanding Fundraising Professional Award; $9M Wallaceburg campaign"
Chatham,Chatham-Kent Family Health Team - Chatham,Family Health Team,20 Emma Street Suite 109/207/209,ON,N7L 5K5,519-354-2172,https://ckfht.ca,Jason Bartell,Executive Director,,"Main office; weekend walk-in clinic; 4+ locations across Chatham-Kent"
Chatham,Chatham-Kent Community Health Centres - Chatham,Community Health Centre,150 Richmond Street,ON,N7M 1N9,519-397-5455,https://ckchc.ca,Sherri Saunders,Integrated Executive Director,,"Primary care for underserved populations"
Chatham,Chatham-Kent Ontario Health Team,Health Team Coordination,,ON,,,https://www.ckoht.ca,Melissa Sharpe-Harrigan,Executive Transformation Lead,,"54 partner organizations; coordinates regional health services"
Chatham,Chatham-Kent Public Health,Public Health,435 Grand Avenue West 2nd Floor,ON,,519-352-7270,https://ckphu.com,Dr. David Colby,Medical Officer of Health,,"Public health services; Heather Bakker - Administrative Assistant"
Chatham,Dynacare - Chatham,Diagnostic/Lab,20 Emma Street Unit 107,ON,N7L 5K5,519-354-8185,https://www.dynacare.ca,,,,"Blood work; lab testing"
Wallaceburg,Chatham-Kent Health Alliance - Wallaceburg Site,Hospital,325 Margaret Avenue,ON,N8A 2A7,519-352-6400,https://www.ckha.on.ca/wallaceburg-services,Adam Topp,President & CEO (CKHA),5 inpatient beds,"24/7 Emergency; Diagnostic Imaging; Lab Services; $9M Our Hospital Our Future campaign"
Wallaceburg,Chatham-Kent Family Health Team - Wallaceburg,Family Health Team,30 McNaughton Avenue,ON,N8A 1R9,519-627-1497,https://ckfht.ca,Jason Bartell,Executive Director,,"Satellite of Chatham-Kent FHT; walk-in services"
Wallaceburg,Chatham-Kent Community Health Centres - Wallaceburg,Community Health Centre,808 Dufferin Avenue,ON,N8A 2V4,519-397-5455,https://ckchc.ca,Sherri Saunders,Integrated Executive Director,,"Medical Village location; primary care"
Walpole Island,Chatham-Kent Community Health Centres - Walpole Island,Community Health Centre,785 Tecumseh Road Unit 16,ON,,519-397-5455,https://ckchc.ca,Sherri Saunders,Integrated Executive Director,,"First Nations community health"
Pain Court,Chatham-Kent Community Health Centres - Pain Court,Community Health Centre,14 Notre Dame Street,ON,N0P 1Z0,519-397-5455,https://ckchc.ca,Sherri Saunders,Integrated Executive Director,,"Rural community health"
Tilbury,Tilbury Walk-In Clinic,Walk-In Clinic,15 Mill Street East,ON,N0P 2L0,519-682-3699,https://www.tilburywalkinclinic.com,,,,"Mon-Fri 9am-4pm; serving Tilbury and surrounding areas; call ahead recommended"
Tilbury,Tilbury District Family Health Team,Family Health Team,Tilbury,ON,N0P 2L0,,http://tdfht.ca,,,,"Primary care services"
Ridgetown,Chatham-Kent Family Health Team - Ridgetown,Family Health Team,20129 Erie Street South,ON,N0P 2C0,519-674-2600,https://ckfht.ca,Jason Bartell,Executive Director,,"Howard Mutual Medical Centre; satellite of CKFHT"
Ridgetown,Howard Mutual Medical Centre,Clinic,20129 Erie Street South,ON,N0P 2C0,519-674-2600,,,,,Medical care team; family doctors; nurse practitioners; dietitians; social workers
Dresden,Chatham-Kent Family Health Team - Dresden,Family Health Team,530 Tecumseh Street,ON,N0P 1M0,519-683-4479,https://ckfht.ca,Jason Bartell,Executive Director,,"Satellite of Chatham-Kent FHT; rural primary care"
Blenheim,Chatham-Kent Family Health Team - Blenheim,Family Health Team,30 Chatham Street North,ON,,519-354-2172,https://ckfht.ca,Jason Bartell,Executive Director,,"Blenheim Medical Centre; satellite of CKFHT"
